url,id,title,section,method_queries,reason
https://www.theguardian.com/books/2024/jan/03/charity-launches-support-scheme-for-at-risk-libraries-budget-cuts-libraries-connected,books/2024/jan/03/charity-launches-support-scheme-for-at-risk-libraries-budget-cuts-libraries-connected,Charity launches support scheme for at-risk libraries in wake of budget cuts,Books,casestudy,culture
https://www.theguardian.com/culture/2025/may/16/arts-council-england-chair-says-sector-at-tipping-point-amid-funding-fears,culture/2025/may/16/arts-council-england-chair-says-sector-at-tipping-point-amid-funding-fears,Arts Council England chair says sector at ‘tipping point’ amid funding fears,Culture,casestudy,culture
https://www.theguardian.com/books/2025/mar/27/abundance-by-ezra-klein-and-derek-thompson-review-make-america-build-again,books/2025/mar/27/abundance-by-ezra-klein-and-derek-thompson-review-make-america-build-again,Abundance by Ezra Klein and Derek Thompson review – make America build again,Books,casestudy,culture
https://www.theguardian.com/books/2023/nov/17/stuffed-by-pen-vogler-review-tasting-history,books/2023/nov/17/stuffed-by-pen-vogler-review-tasting-history,Stuffed by Pen Vogler review – tasting history,Books,casestudy,culture
https://www.theguardian.com/music/2024/oct/19/australia-live-music-industry-live-nation-ticketmaster-investigations,music/2024/oct/19/australia-live-music-industry-live-nation-ticketmaster-investigations,The crisis facing Australian live music is older and bigger than just Live Nation,Music,casestudy,culture
https://www.theguardian.com/books/2025/jul/15/toni-at-random-by-dana-a-williams-review-the-editorial-years-of-a-literary-great,books/2025/jul/15/toni-at-random-by-dana-a-williams-review-the-editorial-years-of-a-literary-great,Toni at Random by Dana A Williams review – Toni Morrison’s editing years,Books,casestudy,culture
https://www.theguardian.com/stage/2024/dec/11/jamie-foxx-what-had-happened-was-netflix-review,stage/2024/dec/11/jamie-foxx-what-had-happened-was-netflix-review,Jamie Foxx: What Had Happened Was ... review – a star is born again,Stage,casestudy,culture
https://www.theguardian.com/books/article/2024/sep/04/on-leadership-by-tony-blair-working-to-rule,books/article/2024/sep/04/on-leadership-by-tony-blair-working-to-rule,On Leadership by Tony Blair – working to rule,Books,casestudy,culture
https://www.theguardian.com/artanddesign/2025/jun/27/solar-power-kangaroo-point-bridge-leads-winners-as-queensland-architecture-awards-put-spotlight-on-sustainability,artanddesign/2025/jun/27/solar-power-kangaroo-point-bridge-leads-winners-as-queensland-architecture-awards-put-spotlight-on-sustainability,Solar power: Kangaroo Point Bridge leads winners as Queensland architecture awards put spotlight on sustainability,Art and design,casestudy,culture
https://www.theguardian.com/books/2025/feb/19/your-life-is-manufactured-by-tim-minshall-review-object-lessons,books/2025/feb/19/your-life-is-manufactured-by-tim-minshall-review-object-lessons,Your Life Is Manufactured by Tim Minshall review – object lessons,Books,casestudy,culture
https://www.theguardian.com/books/2025/jun/29/madison-griffiths-sweet-nothings-teacher-university-student-relationships-dating-sex-ntwnfb,books/2025/jun/29/madison-griffiths-sweet-nothings-teacher-university-student-relationships-dating-sex-ntwnfb,"At 21, Madison Griffiths dated her university tutor. It was legal, consensual – and a messy grey area",Books,casestudy,culture
