url,title,classified_method,secondary_method,method_certainty,article_relevance_score,models_agreeing_high,disagreement_type,m1_decision_p1,m2old_decision_p1,m2new_decision_p1,m3_decision_p1,m4_decision_p1
https://www.theguardian.com/science/2023/feb/15/most-health-claims-on-formula-milk-not-backed-by-evidence,Most health claims on formula milk ‘not backed by evidence’,method_expert_secondary,,LOW,0.20800000000000005,1,outlier_high,0.8,0.2,0.2,0.2,0.05
https://www.theguardian.com/world/2022/jul/13/no-fear-the-new-zealand-virtual-reality-app-helping-conquer-phobias,No fear: the New Zealand virtual reality app helping conquer phobias,method_case_study,,LOW,0.17050000000000004,1,outlier_high,0.8,0.05,0.2,0.2,0.05
https://www.theguardian.com/science/2022/jun/02/womans-ear-rebuilt-with-3d-printed-living-tissue-implant,Woman’s ear rebuilt with 3D-printed living tissue implant,method_rct,method_prepost,LOW,0.17050000000000004,1,outlier_high,0.2,0.8,0.05,0.2,0.05
https://www.theguardian.com/society/2021/mar/28/what-does-modernas-covid-jab-mean-for-the-uk-vaccine-rollout,What does Moderna's Covid jab mean for the UK vaccine rollout?,method_rct,method_prepost,LOW,0.19450000000000003,1,outlier_high,0.2,0.8,0.05,0.2,0.05
https://www.theguardian.com/money/2022/nov/28/what-are-people-meant-to-do-widower-fights-for-change-to-uk-parental-leave-law,‘What are people meant to do?’: widower fights for change to UK parental leave law ,method_gut,,LOW,0.15400000000000005,1,outlier_high,0.8,0.2,0.2,0.2,0.05
https://www.theguardian.com/australia-news/2021/apr/22/victorious-over-covid-australia-and-new-zealand-grapple-with-vaccine-rollout,"Victorious over Covid, Australia and New Zealand grapple with vaccine rollout",method_gut,,LOW,0.15250000000000005,1,outlier_high,0.8,0.2,0.05,0.2,0.05
https://www.theguardian.com/australia-news/2021/sep/17/nsw-to-trial-seven-day-home-quarantine-for-international-arrivals,NSW Covid update: state to trial seven-day home quarantine for international arrivals,method_rct,method_case_study,LOW,0.41800000000000015,3,method_disagree,0.8,0.8,0.8,0.2,0.05
https://www.theguardian.com/australia-news/2020/dec/15/vaccine-likely-to-prevent-covid-developing-but-not-stop-transmission,"Australia's initial vaccine rollout unlikely to stop Covid transmission, study finds",method_expert_qual,,LOW,0.20800000000000005,1,outlier_high,0.8,0.2,0.2,0.2,0.05
https://www.theguardian.com/world/2021/apr/26/covid-jabs-to-be-offered-to-44-year-olds-in-england-from-monday,Covid jabs to be offered to 44-year-olds in England from Monday,method_rct,,MEDIUM,0.2905000000000001,2,near_tier_a,0.05,0.8,0.8,0.2,0.05
https://www.theguardian.com/global-development/2020/dec/30/vaccine-diplomacy-sees-egypt-roll-out-chinese-coronavirus-jab,'Vaccine diplomacy' sees Egypt roll out Chinese coronavirus jab,method_gut,,LOW,0.14500000000000005,1,outlier_high,0.8,0.05,0.05,0.2,0.05
https://www.theguardian.com/australia-news/2020/dec/24/australia-secures-covid-vaccine-transport-contracts-with-distribution-to-start-in-march,"Australia secures Covid vaccine transport contracts, with distribution to start in March",method_gut,,LOW,0.14650000000000005,1,outlier_high,0.05,0.8,0.8,0.2,0.05
https://www.theguardian.com/society/2022/feb/08/gamechanging-weight-loss-drug-made-available-nhs-semaglutide-obesity,‘Gamechanging’ weight loss drug to be made available on NHS ,method_rct,method_expert_qual,LOW,0.41800000000000015,3,method_disagree,0.8,0.8,0.8,0.2,0.05
https://www.theguardian.com/society/2021/sep/18/ministers-told-bar-eu-uk-trial-data-vaccines-row-england-deputy-chief-medical-guinea-pigs,Ministers told to bar EU from UK trial data in vaccines row,method_gut,,LOW,0.17050000000000004,1,outlier_high,0.8,0.05,0.2,0.2,0.05
https://www.theguardian.com/theobserver/commentisfree/2021/mar/28/the-uks-randomised-coronavirus-trials-are-a-global-success-story,The UK's randomised coronavirus trials are a global success story,method_rct,,LOW,0.17650000000000005,1,outlier_high,0.8,0.05,0.05,0.2,0.2
https://www.theguardian.com/australia-news/2021/jan/25/pfizer-covid-vaccine-approved-for-australia-rollout-but-pm-warns-jabs-not-a-silver-bullet,Pfizer Covid vaccine approved for Australia rollout but PM warns jabs not 'a silver bullet',method_rct,,MEDIUM,0.2740000000000001,2,near_tier_a,0.2,0.8,0.8,0.2,0.05
