url,id,title,section,method_queries,reason
https://www.theguardian.com/guardian-masterclasses/2023/may/25/researching-your-family-tree-a-complete-beginners-masterclass-with-tahitia-mccabe,guardian-masterclasses/2023/may/25/researching-your-family-tree-a-complete-beginners-masterclass-with-tahitia-mccabe,Researching your family tree: A complete beginner’s masterclass with Tahitia McCabe,Guardian Masterclasses,casestudy,shop
https://www.theguardian.com/guardian-masterclasses/2023/jun/15/journalism-for-beginners-a-intensive-summer-bootcamp-with-guardian-writers,guardian-masterclasses/2023/jun/15/journalism-for-beginners-a-intensive-summer-bootcamp-with-guardian-writers,Journalism for beginners: An intensive summer bootcamp with Guardian writers,Guardian Masterclasses,casestudy,shop
https://www.theguardian.com/guardian-masterclasses/2022/dec/28/develop-your-social-media-strategy-an-introduction-to-paid-media-with-edwina-mullins,guardian-masterclasses/2022/dec/28/develop-your-social-media-strategy-an-introduction-to-paid-media-with-edwina-mullins,"Develop your social media strategy: An introduction to paid media, with Edwina Mullins",Guardian Masterclasses,casestudy,shop
https://www.theguardian.com/guardian-masterclasses/2022/may/20/making-the-news-a-hands-on-12-week-journalism-course,guardian-masterclasses/2022/may/20/making-the-news-a-hands-on-12-week-journalism-course,Making the news: A hands-on 12-week journalism course,Guardian Masterclasses,casestudy,shop
https://www.theguardian.com/guardian-masterclasses/2021/jun/10/build-brand-resilience-a-business-masterclass-with-nathalie-nahai,guardian-masterclasses/2021/jun/10/build-brand-resilience-a-business-masterclass-with-nathalie-nahai,Meet the needs of your customers: A brand resilience masterclass with Nathalie Nahai,Guardian Masterclasses,casestudy,shop
https://www.theguardian.com/guardian-masterclasses/2021/jan/21/the-weekend-psychology-ma-taught-by-world-leading-academics,guardian-masterclasses/2021/jan/21/the-weekend-psychology-ma-taught-by-world-leading-academics,The weekend psychology MA: How to look after our mental health and improve psychological wellbeing,Guardian Masterclasses,casestudy,shop
https://www.theguardian.com/guardian-masterclasses/2021/apr/26/storytelling-for-games-an-interactive-workshop-with-hannah-nicklin,guardian-masterclasses/2021/apr/26/storytelling-for-games-an-interactive-workshop-with-hannah-nicklin,Storytelling for games: An interactive workshop with Hannah Nicklin,Guardian Masterclasses,casestudy,shop
https://www.theguardian.com/guardian-masterclasses/2020/oct/28/how-to-overcome-your-unconscious-bias-a-practical-workshop-with-pragya-agarwal-personal-development-and-wellbeing-course,guardian-masterclasses/2020/oct/28/how-to-overcome-your-unconscious-bias-a-practical-workshop-with-pragya-agarwal-personal-development-and-wellbeing-course,How to overcome your unconscious bias: A practical workshop with Dr Pragya Agarwal,Guardian Masterclasses,casestudy,shop
https://www.theguardian.com/membership/2019/mar/16/biscuit-fund-volunteers-britain-welfare-state,membership/2019/mar/16/biscuit-fund-volunteers-britain-welfare-state,Biscuit fund: the volunteers patching up Britain's welfare state,Membership,casestudy,shop
https://www.theguardian.com/guardian-masterclasses/2019/apr/24/kickstart-your-career-change-and-do-work-you-truly-enjoy-business-professional-course-joseph-liu,guardian-masterclasses/2019/apr/24/kickstart-your-career-change-and-do-work-you-truly-enjoy-business-professional-course-joseph-liu,Kickstart your career change and do work you truly enjoy | Joseph Liu,Guardian Masterclasses,casestudy,shop
https://www.theguardian.com/info/2023/sep/12/from-a-zebra-to-a-rotating-banner-how-we-stepped-up-your-ability-to-support-the-guardian-over-the-last-seven-years,info/2023/sep/12/from-a-zebra-to-a-rotating-banner-how-we-stepped-up-your-ability-to-support-the-guardian-over-the-last-seven-years,From a zebra to a rotating banner: how we stepped up your ability to Support the Guardian over the last seven years,Info,rct,shop
https://www.theguardian.com/info/2022/feb/22/turning-the-tables-on-accessibility,info/2022/feb/22/turning-the-tables-on-accessibility,Turning the tables on accessibility,Info,rct,shop
https://www.theguardian.com/info/developer-blog/2016/dec/18/what-we-learnt-from-our-mistakes-in-2016,info/developer-blog/2016/dec/18/what-we-learnt-from-our-mistakes-in-2016,What we learnt from our mistakes in 2016,Info,rct,shop
https://www.theguardian.com/info/developer-blog/2016/mar/21/data-driven-quality,info/developer-blog/2016/mar/21/data-driven-quality,Data-Driven Quality,Info,rct,shop
