article_id,url,title,section,in_training,word_count,dominant_topic,dominant_topic_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob,topic_10_prob,topic_11_prob,topic_12_prob,topic_13_prob,topic_14_prob
us-news/2025/apr/05/covid-policies-lockdown-masks-liberals-book,https://www.theguardian.com/us-news/2025/apr/05/covid-policies-lockdown-masks-liberals-book,‘A case study in groupthink’: were liberals wrong about the pandemic?,US news,yes,1864,3,0.3878,0.0298,0.11,0.0,0.3878,0.0,0.2021,0.1016,0.0,0.0,0.0123,0.0,0.0,0.1561,0.0001,0.0
taking-the-step-to-tomorrows-heating/2025/may/06/britain-on-heat-pumps-how-switching-helps-the-planet,https://www.theguardian.com/taking-the-step-to-tomorrows-heating/2025/may/06/britain-on-heat-pumps-how-switching-helps-the-planet,This is Britain on heat pumps: how a nationwide switch could help our planet,Taking The Step To Tomorrow’s Heating,yes,1231,10,0.908,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.908,0.0911,0.0001,0.0001,0.0001
australia-news/2025/aug/04/last-resort-when-the-only-option-left-amid-australias-housing-crisis-is-a-motel-ntwnfb,https://www.theguardian.com/australia-news/2025/aug/04/last-resort-when-the-only-option-left-amid-australias-housing-crisis-is-a-motel-ntwnfb,Last resort: when the only option left amid Australia’s housing crisis is a motel,Australia news,yes,1106,10,0.3839,0.0001,0.0001,0.0001,0.2441,0.2385,0.0433,0.0002,0.0001,0.0001,0.0001,0.3839,0.0001,0.0001,0.0892,0.0001
politics/article/2024/may/26/rishi-sunaks-national-service-pledge-is-bonkers-says-ex-military-chief,https://www.theguardian.com/politics/article/2024/may/26/rishi-sunaks-national-service-pledge-is-bonkers-says-ex-military-chief,"Rishi Sunak’s national service pledge is ‘bonkers’, says ex-military chief",Politics,yes,818,6,0.7446,0.0001,0.0001,0.0001,0.0774,0.0001,0.1768,0.7446,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
politics/2025/jul/13/many-happy-returns-economic-policy-target-wellbeing-covid,https://www.theguardian.com/politics/2025/jul/13/many-happy-returns-economic-policy-target-wellbeing-covid,Why Labour should target happiness alongside economic growth | Heather Stewart,Politics,yes,919,3,0.6203,0.0001,0.0001,0.0001,0.6203,0.0001,0.0001,0.3281,0.0001,0.0001,0.0001,0.0506,0.0001,0.0001,0.0001,0.0001
society/2023/nov/11/hackney-walk-east-london-regeneration-ghost-town,https://www.theguardian.com/society/2023/nov/11/hackney-walk-east-london-regeneration-ghost-town,‘It was a case study for what not to do’: the regeneration project that became a £100m luxury ghost town,Society,yes,4565,0,0.7533,0.7533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2464,0.0,0.0,0.0,0.0
science/2025/may/30/vet-complaint-process-in-uk-often-stacked-against-pet-owners,https://www.theguardian.com/science/2025/may/30/vet-complaint-process-in-uk-often-stacked-against-pet-owners,Vet complaint process in UK often ‘stacked against pet owners’,Science,yes,734,13,0.7145,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.16,0.1239,0.0001,0.7145,0.0001
money/2025/mar/07/crypto-scam-victims,https://www.theguardian.com/money/2025/mar/07/crypto-scam-victims,"‘You get sucked in’: crypto scam victims on how they lost up to £162,000",Money,yes,1472,6,0.4829,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.4829,0.4152,0.0001,0.017,0.0244,0.0001,0.0001,0.0382,0.0217
technology/2025/aug/05/productivity-commission-digital-economy-report-copyright-rules-text-and-data-mining-to-train-ai-models,https://www.theguardian.com/technology/2025/aug/05/productivity-commission-digital-economy-report-copyright-rules-text-and-data-mining-to-train-ai-models,Should big tech be allowed to mine Australians’ text and data to train AI? The Productivity Commission is considering it,Technology,yes,639,11,0.5091,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.1355,0.3538,0.0002,0.0001,0.5091,0.0001,0.0002,0.0001
uk-news/2025/may/31/transport-for-london-tfl-blocks-ads-bpas-decriminalise-abortion,https://www.theguardian.com/uk-news/2025/may/31/transport-for-london-tfl-blocks-ads-bpas-decriminalise-abortion,TfL blocks ads calling on people to lobby MPs to decriminalise abortion,UK news,yes,731,13,0.6262,0.0674,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.6262,0.305
