url,title,classified_method,tied_methods,confidence,method_certainty,article_relevance_score,models_agreeing_high,which_models_high
https://www.theguardian.com/world/2020/apr/30/randomised-coronavirus-test-of-100000-will-determine-end-date-of-uk-lockdown,"Randomised test of 100,000 to help decide end of UK lockdown",method_rct,"[""method_rct""]",0.4222376425115221,MEDIUM,0.4284651083402374,5,"[""m1"", ""m2new"", ""m4"", ""m5"", ""m6""]"
https://www.theguardian.com/world/2020/dec/25/uk-scientists-trial-drug-to-prevent-coronavirus-infection-leading-to-disease,UK scientists trial drug to prevent infection that leads to Covid,method_rct,"[""method_rct"", ""method_prepost"", ""method_case_study""]",0.2150849287575874,LOW,0.30681196919228104,3,"[""m2old"", ""m5"", ""m6""]"
https://www.theguardian.com/society/2020/jan/03/hpv-vaccine-tested-clinical-trial-infections-cervical-cancer,Broadest ever therapeutic HPV vaccine to be tested in clinical trial,method_rct,"[""method_rct""]",0.36393448687350083,MEDIUM,0.3364602666501033,3,"[""m2old"", ""m5"", ""m6""]"
https://www.theguardian.com/commentisfree/2021/mar/30/uae-covid-vaccine-global-leader-china,"The UAE Covid vaccine could become a global leader, but we must see full data",method_rct,"[""method_rct""]",0.533779648540874,HIGH,0.23222702006861604,3,"[""m1"", ""m4"", ""m6""]"
https://www.theguardian.com/society/2021/may/12/more-frequent-side-effects-reported-mixing-pfizer-and-oxford-covid-jabs-study-suggests,"More frequent side-effects reported mixing Pfizer and Oxford Covid jabs, study suggests",method_rct,"[""method_rct""]",0.40632959381261075,MEDIUM,0.29281686236843046,3,"[""m4"", ""m5"", ""m6""]"
https://www.theguardian.com/world/2021/jan/03/testing-of-3d-printed-covid-face-guards-and-uv-air-treatment-win-australian-funding,Testing of 3D-printed Covid face guards and UV air treatment win Australian funding,method_rct,"[""method_rct""]",0.2153561389661564,LOW,0.19700710579907313,3,"[""m4"", ""m5"", ""m6""]"
https://www.theguardian.com/world/2020/dec/11/australia-terminates-university-of-queensland-vaccine-deal-with-csl-after-false-positives-for-hiv,Australia terminates University of Queensland vaccine deal with CSL after false positives for HIV,method_rct,"[""method_rct""]",0.4150533437812928,MEDIUM,0.33774534452593546,5,"[""m1"", ""m2new"", ""m4"", ""m5"", ""m6""]"
https://www.theguardian.com/world/2021/apr/01/pfizer-vaccine-has-91-efficacy-for-up-to-six-months-trial-shows,"Pfizer vaccine has 91% efficacy for up to six months, trial shows",method_rct,"[""method_rct""]",0.3884835491956385,MEDIUM,0.38065390717407177,3,"[""m2old"", ""m5"", ""m6""]"
https://www.theguardian.com/us-news/2021/feb/24/johnson-and-johnson-covid-vaccine-fda-emergency-use,"Johnson & Johnson's one-shot Covid vaccine effective, FDA review says",method_rct,"[""method_rct""]",0.369330054735379,MEDIUM,0.4870880339597861,5,"[""m1"", ""m2old"", ""m2new"", ""m5"", ""m6""]"
https://www.theguardian.com/world/2020/nov/09/what-has-pfizers-covid-vaccine-trial-found-and-is-this-a-breakthrough,Pfizer Covid vaccine: what has the trial found and is this a breakthrough?,method_rct,"[""method_rct""]",0.42667294832036856,MEDIUM,0.3853473579304333,4,"[""m1"", ""m2old"", ""m4"", ""m6""]"
https://www.theguardian.com/world/2021/mar/31/pfizer-covid-biontech-vaccine-safe-effective-children,Pfizer finds Covid vaccine safe and effective for children 12 to 15,method_rct,"[""method_rct""]",0.2756291447914282,LOW,0.3874629349806644,4,"[""m2old"", ""m3"", ""m5"", ""m6""]"
https://www.theguardian.com/world/2020/dec/27/the-breakthough-medicines-that-could-change-the-course-of-covid,The breakthrough medicines that could change the course of Covid,method_rct,"[""method_rct""]",0.4647457470450046,MEDIUM,0.43143265637033423,4,"[""m1"", ""m2old"", ""m5"", ""m6""]"
