url,id,title,section,method_queries,reason
https://www.theguardian.com/lifeandstyle/article/2024/may/20/zyn-pouches-nicotine-rewards-program,lifeandstyle/article/2024/may/20/zyn-pouches-nicotine-rewards-program,"Use nicotine, win an iPad! Zyn’s viral rewards program fuels addiction fears",Life and style,casestudy,lifestyle
https://www.theguardian.com/food/2025/mar/02/fast-food-chains-are-mushrooming-across-australia-but-at-what-cost,food/2025/mar/02/fast-food-chains-are-mushrooming-across-australia-but-at-what-cost,Fast food chains are mushrooming across Australia – but at what cost?,Food,casestudy,lifestyle
https://www.theguardian.com/lifeandstyle/2024/oct/16/ireland-school-secret-transition-year-off-curriculum,lifeandstyle/2024/oct/16/ireland-school-secret-transition-year-off-curriculum,Ireland’s big school secret: how a year off-curriculum changes teenage lives,Life and style,casestudy,lifestyle
https://www.theguardian.com/lifeandstyle/2024/oct/19/im-33-and-my-husband-is-77-this-is-why-our-relationship-works,lifeandstyle/2024/oct/19/im-33-and-my-husband-is-77-this-is-why-our-relationship-works,I’m 33 and my husband is 77 – this is why I only sleep with older men,Life and style,casestudy,lifestyle
https://www.theguardian.com/food/2023/jul/16/the-good-life-in-liege-the-start-of-a-food-revolution,food/2023/jul/16/the-good-life-in-liege-the-start-of-a-food-revolution,A food revolution: campaigners in Liège want all the region’s produce to be grown locally. Can they do it?,Food,casestudy,lifestyle
https://www.theguardian.com/lifeandstyle/2023/jun/18/our-son-is-refusing-to-go-to-school---and-we-feel-so-isolated,lifeandstyle/2023/jun/18/our-son-is-refusing-to-go-to-school---and-we-feel-so-isolated,Our son is refusing to go to school – and we feel so isolated,Life and style,casestudy,lifestyle
https://www.theguardian.com/games/2023/apr/26/pushing-buttons-unrecord-game,games/2023/apr/26/pushing-buttons-unrecord-game,Pushing Buttons: Is the brutal new police ‘bodycam’ shoot ’em up game too indistinguishable from reality?,Games,casestudy,lifestyle
https://www.theguardian.com/food/2022/aug/21/walters-london-so-many-reasons-to-go-back-restaurant-review,food/2022/aug/21/walters-london-so-many-reasons-to-go-back-restaurant-review,"Walter’s, London: ‘So many reasons to go back’ – restaurant review",Food,casestudy,lifestyle
https://www.theguardian.com/games/2022/may/27/from-the-invasion-of-ukraine-to-weapons-procurement-the-war-games-seeking-solutions-to-real-life-conflicts,games/2022/may/27/from-the-invasion-of-ukraine-to-weapons-procurement-the-war-games-seeking-solutions-to-real-life-conflicts,From the invasion of Ukraine to weapons procurement: the war games seeking solutions to real-life conflicts,Games,casestudy,lifestyle
https://www.theguardian.com/lifeandstyle/2021/mar/07/is-that-a-unicorn-no-its-a-teenager-taking-a-hike-in-the-great-outdoors,lifeandstyle/2021/mar/07/is-that-a-unicorn-no-its-a-teenager-taking-a-hike-in-the-great-outdoors,"Is that a unicorn? No, it’s a teenager taking a hike in the great outdoors…",Life and style,casestudy,lifestyle
https://www.theguardian.com/lifeandstyle/2021/aug/14/mps-urged-to-ban-virginity-repair-surgery-as-well-as-virginity-testing,lifeandstyle/2021/aug/14/mps-urged-to-ban-virginity-repair-surgery-as-well-as-virginity-testing,UK MPs urged to ban ‘virginity repair’ surgery as well as virginity testing,Society,casestudy,lifestyle
https://www.theguardian.com/lifeandstyle/2021/jan/23/i-feel-like-im-failing-parents-stress-rises-over-home-schooling-in-covid-lockdown,lifeandstyle/2021/jan/23/i-feel-like-im-failing-parents-stress-rises-over-home-schooling-in-covid-lockdown,‘I feel like I’m failing’: Parents’ stress rises over home schooling in Covid lockdown,Life and style,casestudy,lifestyle
