title,url,article_body
My Climate View: online tool allows Australian farmers to project changes out to 2070,https://www.theguardian.com/australia-news/article/2024/jun/03/my-climate-view-change-projections-local-australia-farmers-40-years-2070-online-tool,"In 30 years, Vicki Mayne’s Queensland beef property will receive 30 more days of heatwaves a year. “That pushes us to 163 days of the year,” she said. The prediction comes from an online tool developed by the Bureau of Meteorology and the CSIRO, called My Climate View. The tool provides farmers with long-term climate projections out to 2070. Farmers such as Mayne can plug in their farm’s location and the commodity they produce, and receive information that can help them better understand the impact of global heating on their livelihood. A study analysing the usefulness of the tool to farmers was published in the Nature Climate Change journal this month. It measured how 24 Australian farmers perceived the risk of global heating on their operation before and after using the software. Sign up to receive Guardian Australia’s fortnightly Rural Network email newsletter Whether the projections are of use to farmers or “are they only the dream of scientists” was the central question in the mind of lead author Dr Yuwan Malakar. “People talk about climate change being a distant phenomenon,” he said. “Because it’s something happening in the future, we don’t need to act on it, they say.” By localising climate projections, the study found, farmers were able to better understand future climate risks, potentially reducing their “physiological distance” from global heating, Malakar said. One farmer surveyed was planning on expanding his avocado operations but, after using the software, Malakar said, he decided to consider changing his crop altogether. “That’s the beauty of it,” he said. Another farmer from Tasmanian was fearful of cold snaps damaging their crop but said the software’s projection of fewer and less intense frosts in the region as the planet warms had eased that concern. The financial implications of a changing climate are already being felt. A 2019 report by the Australian Bureau of Agricultural and Resource Economics and Sciences found the annual profit of Australian farms had decreased by 22% on average in the past two decades due to global heating. The program was funded by the Future Drought Fund. This month the government announced an additional $519m for the fund and said it would be restructured to better reflect global heating’s threat to Australian agriculture. Peter Holding, an outreach officer for Farmers for Climate Action who runs a mixed sheep and cropping farm outside Young, New South Wales, said farmers were aware becoming of the challenges caused by a warming climate. “Many farmers are recognising climate change, they are concerned about the extremes that are happening … more intense storms, more floods, more fires,” he said. He said that farmers had already adapted to significant changes in technology and farming practices “but I’m not sure we’re going to be able to keep up with the impacts of climate change”. The president of the National Farmers’ Federation, David Jockhinke, said he welcomed any tool that would help farmers understand and adapt to a changing climate. “In recent years the climate pendulum has swung from one extreme to the other and this isn’t expected to slow down,” Jockhinke said. “We know the more farmers can prepare, the better they can mitigate the hit to food production and their bottom line.” One cropping and livestock farmer surveyed in the study said: “I don’t think there’s much more we could do to plan for that increase in heat. We’ve done all we can already.” A sugar cane farmer, also included in the study, was more pragmatic. “We’ve just got to harvest when we can, and stop when we can’t.” Sign up for the Rural Network email newsletter Join the Rural Network group on Facebook to be part of the community"
"Extra school services help lift results, says study",https://www.theguardian.com/education/2007/jun/25/schools.uk1,"Schools that offer more than regular lessons have seen improved exam results and more focused children, according to a government report out today. The study, by Manchester and Newcastle universities, found that 138 schools that offer extended services had a positive impact on pupils' learning and results. They also improved family stability, enhanced life chances and boosted families and local people. Extended schools provide access to a range of services such as study support, before- and after-school childcare in primary schools, health services, support for parents, adult learning and community activities. At key stage 4 (14 to 16), the percentage of pupils in extended schools achieving five or more GCSE grades A*-C in 2006-07 increased from 40.1% to 45.3%, compared with a 2.5 point increase in the national average over the same period. Extended schools improved disadvantaged pupils' results, said the study. Rich and poor pupils did equally well at KS3 and pupils eligible for free school meals did slightly better than their richer peers at KS4. The gap between special needs pupils and their peers at both KS3 and 4 was narrower than in other schools. Alan Dyson, professor of education at Manchester University, said: ""Our evaluation shows that it is possible for schools and their partners to make a real difference to the life chances of disadvantaged children and adults. ""For the schools we studied, extended provision was not a distraction from the standards agenda, but a way of ensuring the best possible outcomes for all learners. ""Where these schools were successful, the key was that they made a major commitment to extended provision and saw it as part of the core business of the school. In return, the schools themselves often improved their standing in their areas."" Not all schools would be able to be offer every service but ""well thought-out extended provision has lots to offer children, families, communities - and schools themselves"", Prof Dyson said. ""Provision above and beyond classroom provision had quite dramatic effects particularly for children, families and adults in disadvantaged areas. In the context of social mobility, this looks like an approach that has something very positive going for it."" But schools needed stability and time to work out the best approach and to link up with other local initiatives, Prof Dyson warned. The children's minister, Beverley Hughes, said: ""I am particularly pleased to see the positive improvements in KS3 and GCSE results for pupils facing disadvantage, on free school meals and with special educational needs. ""By 2010 all schools will provide access to a core offer of extended services and we can see already the advantages this will have for all children, not only by allowing them to take part in different activities but also in helping them do better in exams."" But the report highlighted the need for coordinators to support schools in developing their extended provision and the need for committed school leaders. Nearly 5,000 schools already have extended some of the services they offer. The government wants all schools to offer extended services by 2010, and has put £840m towards meeting this target. A further £217m from 2010 to 2011 will go towards an extended schools subsidy scheme to target disadvantaged families. · Click here to read the report, 'Evaluation of the Full Service Extended Schools Initiative'"
Cuts to prison restorative justice show why Chris Grayling should be voted out | Eric Allison,https://www.theguardian.com/society/2015/apr/22/cutting-prison-victim-awareness-tories-chris-grayling,"Tomorrow, the archbishop of Canterbury will go to jail. He will visit Brixton prison, south London as a guest of the Prison Fellowship, the charity that helps prisoners through support and prayer. Justin Welby will be singing the praises of the Sycamore Tree project, run by the fellowship since 1998 and in place in 40 prisons nationwide. It is a victim awareness programme, teaching the principles of restorative justice and taught in groups by some 2,000 of the charity’s volunteers. Prisoners explore the effects of crime on victims, and the community, and aim to take responsibility for their actions. Victims of crime attend and speak of the impact it had on their lives. At the end of the course, prisoners have an opportunity to express their remorse; some write letters, poems or create works of art. There is a long waiting list. An evaluation by Sheffield Hallam University in 2009, found that 10,000 prisoners who had taken part in the project had completed a psychometric questionnaire, designed to measure the programme’s impact, both before and after the course. Results provided strong evidence of significant changes in attitudes especially in key areas of victim empathy. Victim awareness is an integral part in the rehabilitation of offenders. I know from my time in prison that many criminals simply don’t think about their victims. I was no exception; when I burgled the houses of wealthy people, I had few qualms. I tried to make sure the people were not at home when I broke in. And I tried to be neat and tidy, so they did not enter ransacked rooms. I thought those measures sufficient. And when defrauding banks, I told myself these were victimless crimes. There is no such thing, of course, and I eventually learned that. Back at Brixton, some of the shine has been taken off the archbishop’s visit with the news that the Ministry of Justice (MoJ) has axed its funding of the Sycamore Tree. All the MoJ will say is: “The three-year contract for the delivery of the Sycamore Tree course came to an end in March. There are no plans to renew the contract at this stage..” The MoJ is clearly embarrassed by the prelate’s prison visit. When it was first planned, the axe had yet to fall and the BBC, the Telegraph and Guardian were also invited. That invitation to the media was suddenly withdrawn. I suspect the justice secretary, Chris Grayling’s hand in this. SoSo powerful is he: his ill thought-out meddling in the criminal justice system has probably permeated the MoJ. Although I have no religion, I would like to have heard Welby speak at Brixton. However, if I did trouble God, I would be on my knees praying for a Labour victory in May. Not that I would expect too much in the way of penal reform. (When last in opposition, Labour talked a good fight before adding another 20,000 inmates to an already bloated prison system). I would simply pray to get to get rid of Grayling. The man is an incompetent, short-sighted recidivist and the justice system cannot stand another term of his serial mistakes."
There's no price tag on a clear mind: Intel to launch mindfulness program,https://www.theguardian.com/sustainable-business/price-intel-mindfulness-program-employee,"At any given moment during the workweek, there's a high possibility that employees at Silicon Valley tech companies are trying to disconnect from the very same products they have developed. Whether it's via deep breathing, meditation or a quiet moment to reflect, companies like Google, Twitter and Medium encourage the use of mindfulness techniques as a way to trade digital clutter and stress for greater clarity and purpose. But away from the spotlight, one of the sector's oldest companies is quietly making plans to expand its program to a greater level than ever before. After two years of running an under-the-radar program at two locations in California and Oregon – initiated by a manager in its engineering department, no less – Intel is moving to make a nine-week mindfulness program available to its workforce of over 100,000 employees in 63 countries across the globe. ""There's going to be a quantum leap,"" said Lindsay Van Driel, the Hillsboro, Oregon-based manager who co-founded Awake@Intel with Portland leadership consultant Anakha Coman. Using a train-the-trainer model, the program will be rolled out over the next six months to its first office locations. An employee is currently being trained in India, and others in China, Chile, Costa Rica and Ireland have expressed interest. Van Driel is adamant about making sure that Awake@Intel grows slowly so that the course is implemented in a way that stays true to its original intention. ""The right teachers [who will all be employees] will have to emerge as leaders before we can offer it there,"" said Van Driel, who is also a certified meditation and yoga instructor. ""It's not something that anyone can teach. It has to be lived and embodied."" All sessions will be held with teachers and students in the same room. Though Van Driel did consult with Chade-Meng Tan, the Google engineer who co-wrote the company's Search Inside Yourself course on mindfulness and emotional intelligence with meditation teacher Mirabai Bush and San Francisco Zen Center priest Norman Fischer, she and Coman created a program that met the needs of a company mainly comprised of scientists and engineers, and one that cultivated the Intel values of innovation, candor, possibility thinking, risk taking and moving quickly and decisively. The curriculum was developed in three months. Before the first weekly session, each participant identifies what he or she is most interested in improving. During the first month, the class learns to quiet their minds. They set intentions and explore the components of emotional intelligence. For the last part of the course, participants are exposed to mindful listening, delve into Brené Brown's ideas on the influence that vulnerability has on innovation, then discuss Otto Scharmer's concept of collective mindfulness. Each week, participants share their experiences and insight utilizing what they've learned over the course of the past week – for example, talking about how they moved from compulsion to choice. ""People get more authentically related to each other – beyond competency levels and their roles. So real ideas are heard and received, and people are much more generative together. The corporate mask that people put on when they walk through the door comes down,"" Coman said. Evaluation results have been notable among the 1,500 employees who have participated in 19 sessions to date. On average, participants responding to pre- and post- self-evaluation questionnaires report a two-point decrease (on a 10-point scale) in experiencing stress and feeling overwhelmed, a three-point increase in overall happiness and wellbeing, and a two-point increase in having new ideas and insights, mental clarity, creativity, the ability to focus, the quality of relationships at work and the level of engagement in meetings, projects and collaboration efforts. Since the program is voluntary, it seems that employees aspiring to be mindful would surely be derailed by colleagues. But there's still value, according to Coman. If one person can maintain presence in a conflict it won't escalate, and it can help others to stay calm, she said. How did a top tech company make the decision to invest in such a large program without a clear numerical return on investment? Van Driel said that she focused on presenting scientific studies showing the health benefits of meditation, as well as the effect of the program on workers' ability to relate better to each other and improve team performance. The company has not determined the amount of money it will put into the program at this time. ""If we show people pages and pages of our feedback, there's nothing that anyone can say that takes away the validity of that experience,"" she said. ""If I have an engineer that says 'I can solve a technical problem in two less weeks [after applying what was learned during the class]', you can monetize it anywhere."" Kristine A Wong is a multimedia journalist, producer and editor in the San Francisco Bay Area"
Four-day week: major breakthrough as most UK firms in trial make change permanent,https://www.theguardian.com/money/2023/feb/21/four-day-week-uk-trial-success-pattern,"The vast majority of companies taking part in the world’s largest trial of a four-day week have opted to continue with the new working pattern, in a result hailed as evidence that it could work across the UK economy. Of the 61 companies that entered the six-month trial, 56 have extended the four-day week, including 18 who have made it permanent. The findings will be presented to MPs on Tuesday as part of a push urging politicians to give all workers in Britain a 32-hour week. Joe Ryle, the director of the 4 Day Week Campaign, called the trial a “major breakthrough moment”, adding: “Across a wide variety of sectors, wellbeing has improved dramatically for staff; and business productivity has either been maintained or improved in nearly every case. “We’re really pleased with the results and hopefully it does show that the time to roll out a four-day week more widely has surely come.” At Sheffield-based Rivelin Robotics, one of the participating firms that plans to continue with the new approach, the chief product officer, David Mason, said he hoped offering a shorter working week would help with future recruitment. “It’s certainly something that makes us a little bit different from the average.” The UK pilot, which kicked off last June, has been promoted by 4 Day Week Global, a not-for-profit organisation founded in New Zealand, and overseen by the thinktank Autonomy and a team of academics. Companies taking part were offered workshops and mentoring to help them rethink working practices. Staff were given the opportunity to remain on their existing salary, working across four days instead of five. Since last summer, staff at Rivelin Robotics have been enjoying a three-day weekend. David Alatorre, its chief technology officer, said: “We wanted to instil a culture in the company of putting wellbeing first, making sure that everybody is rested and has a good work-life balance.” Based in a bright industrial unit close to the River Don, the company makes robots that meticulously finish 3D-printed parts for manufacturers, for industries including aerospace and medicine. In consultation with colleagues, they opted to take Fridays off, and extend the working day to 8am-5.30pm on the other days of the week. Alatorre and Mason said the change had not been without its challenges. It is a small, fast-growing startup – currently with just eight staff – and sometimes the work will not wait. “We had a trade show that was a big launch for one of our products and a couple of the major parts were delayed. And we just couldn’t physically start the process until they arrived,” Mason said. “There was no way at that point in time that we could have spread that load.” He added that while it was “quite common that we’ll be contacted on a Friday” he emphasised that he, Alatorre and the firm’s founder, Robert Bush, tended to take the strain when that happens. “It’s nice to have the flexibility though, which makes the biggest difference to me personally, that Friday, even though I may end up working some of it, I can be at home, walk the dog, go climbing.” Alatorre said some staff would prefer five shorter days, rather than four – and the management team are now thinking through how to accommodate different working patterns as the company grows. In total, about 2,900 employees across the UK have taken part in the pilot. Surveys of staff taken before and after found that 39% said they were less stressed, 40% were sleeping better and 54% said it was easier to balance work and home responsibilities. The number of sick days taken during the trial fell by about two-thirds and 57% fewer staff left the firms taking part compared with the same period a year earlier. The vast majority of companies reported that they were satisfied with productivity and business performance over the trial period. Charity Bank in Tonbridge, Kent, is another participant expecting to continue with the four-day week approach for its 70 employees. The social lender chose to offer people either a Monday or a Friday off, and the pilot supported them with what the bank’s chief executive, Ed Siegel, calls “a crash course in productivity improvements”. “I would say that for roughly two-thirds of our team, it’s been fantastic – it’s been amazingly successful. They have successfully transitioned to working four days a week and they love it. It has really moved the dial on the mood, and people are like, ‘Wow, that’s a great organisation I’m working for here.’” For the others, some of whom are senior staff used to putting in long hours throughout the week, Siegel said the bank was “trying to say to those folks – and by the way, I’m one of those folks – ‘Let’s just be clear, this is your choice. If you want to work four days a week, we want to support you to get there.’” At the Royal Society of Biology, in London, its 38 employees now take either a Monday or a Friday off, and the working day has been extended from seven hours to eight. Its chief executive, Mark Downs, said rethinking the way the organisation does its job had been crucial. “There’s no way that you can reduce your working hours and maintain productivity and not do things differently.” Downs said sometimes flexibility was needed from staff, to attend essential meetings on their non-working day, for example – but surveys of employees during the pilot had produced a resounding result. “I have to say, without exaggerating, it is the most positive response I think I’ve ever had to any staff survey. It was unanimously popular. Everybody was very, very supportive of it.” When he asked the RSB’s stakeholders whether they had noticed any diminution in service, “The answer was, absolutely not.” The 4 Day Week Campaign has said it would now like to see many more employers take the plunge, and is lobbying the government to encourage change legislating to give staff the right to request a four-day pattern. Ryle, of the campaign, said: “The economy doesn’t need us to be working five days a week any more. It was 100 years ago, the shift to a five-day week, and the economy’s transformed since then.”"
Government badger cull kill targets 'deliberately set too low',https://www.theguardian.com/environment/2017/mar/29/government-badger-cull-kill-targets-deliberately-set-too-low,"The government’s killing targets for the controversial badger cull in England are “deliberately being biased down”, according to a leading animal population expert. The badger cull, now rolled out to seven counties in England, is part of efforts to reduce the scourge of tuberculosis in cattle but has been heavily criticised by scientists. Farmers failed to meet the targets for badgers shot in the first culls and the lower targets have been easier to achieve. But scientists warn that lower targets run the risk of actually increasing TB in cattle, because the remaining badgers roam more widely and can spread the disease further afield. “The targets are being based on poor estimates of [badger] population size and are deliberately being biased downwards,” said Prof Tim Coulson, at the University of Oxford, who was a member of the government’s Independent Expert Panel that scrutinised the first year of culling in 2013 before being disbanded. This less accurate method produces a population estimate with very wide error bars and, rather than using the central estimate to calculate the cull target, the government is using the very lowest figure at the bottom of the range of uncertainty. This leads to a cull target likely to be much lower than needed to remove a high proportion of the badgers. “The tools are out there to do this properly,” Coulson said. The “gold standard” method, he said, was to capture and identify badgers and then recapture them to calculate a good estimate of the population before and after culling, but that this was discontinued after the first year of culling: “The reason for that was primarily financial.” Badger populations are now estimated using sett numbers and other landscape features which Coulson said was not very accurate. Furthermore, the government was setting the killing target at the lowest end of these estimates, he said. Nigel Gibbens, the UK’s chief veterinary officer and also attending a bovine TB symposium in London, defended the approach. He said the government had moved from a “research methodology” in the first year to a more “practically deliverable” approach, which was adjusted as data from culling came in. “We are applying a practical opening position to set a figure, then using the reality of what happens when culling takes place to understand what is actually happening on the ground,” he said. “I think that is a sensible and defensible methodology.” Prof Sheila Bird, a statistician and member of the Department of Environment, Food and Rural Affairs’ Science Advisory Council, said: “That sounds a bit like moving the goalposts.” In 2013, then environment secretary Owen Paterson explained the failure of the cull to meet its killing targets by saying “the badgers moved the goalposts”. Bird said using a “fiddle factor” did not “do the culling any service”. The cull killed over 10,000 badgers in the autumn of 2016 but experts said the expansion “flies in the face of scientific evidence”. TB is a serious problem for farmers, with 36,000 infected cattle slaughtered in Britain in 2015 at a cost to the taxpayer of about £100m. The government is also implementing stricter cattle testing and movement rules to tackle the problem and researching both badger and cattle vaccines. “No-one wants the long term solution to be culling in perpetuity,” Gibbens said. “We are where we are with regret, not because it is the place we want to be.” He said cattle-to-cattle transmission was a crucial factor to tackle, but that badger-to-cattle transmission was also important. “If we don’t deal with both, we won’t get rid of the disease.” Wales has seen a decline in cattle TB in recent years, after stricter testing and other measures were implemented. But Christianne Glossop, Wales’s chief vet, said culling was set to be used this year to target farms with longstanding TB infections. Scientists have warned that small-scale culls also run the risk of making TB worse overall by dispersing badgers. But Glossop said: “I know there is a risk attached to this approach but I think it is proportionate.” In the Republic of Ireland, about 6,000 badgers have been culled each year since 2000. This and other measures has seen TB in cattle fall. But James O’Keeffe, head of the Department of Agriculture’s Wildlife Unit, said that, following successful trials, the nation would switch to mostly badger vaccination in 2018. He said culling was not sustainable in the long term: “We need to eliminate TB, but also make sure we don’t eliminate badgers.” Badger vaccination projects in England have been postponed due to a global shortage of TB vaccine. But O’Keeffe said: “If you pay for it, you get it. We have had no problem getting it.” Ireland has a much lower density of badgers than England and zoologist Prof John Krebs warned: “What worked in Ireland might not work in England.” In 2012, Krebs described the government’s badger cull plans as “mindless”."
Chronic illness to be managed by expert patients,https://www.theguardian.com/society/2001/sep/14/health.healthandwellbeing1,"The government today heralded the creation of a new breed of ""expert patients"" with the skills and information to manage chronic diseases, such as diabetes and ME. With support and training, ministers believe that patients can influence the treatment process and take the lead in managing their condition, instead of simply being recipients of care. US research shows that helping patients through self-management groups can cut visits to the doctor by as much as 55%, saving valuable time and resources. Pilot groups will be set-up by all primary care trusts between now and 2004 and, after an extensive evaluation, the programme will be rolled out across the NHS over the following three years. Launching a report, The Expert Patient - A new approach to chronic disease management for the 21st century, the chief medical officer, Liam Donaldson, said the government was putting £2m into the project. He added that the expertise and experience, developed by people who suffer from chronic diseases, can be turned into practical skills to enable the patient to manage their own condition. ""This will be an ambitious and challenging programme for the NHS, not an isolationist self-help movement,"" he said. ""Thirty years ago, the idea of patients taking a lead in their own treatments would have been out of the question. It has long been recognised that people with chronic diseases have considerable knowledge and experience of their own illness."" The programme applies to patients in England with chronic diseases, including cancer and ulcerative colitis."
Zero-carbon hydrogen injected into gas grid for first time in UK,https://www.theguardian.com/environment/2020/jan/24/hydrogen-uk-gas-grid-keele-university,"Zero-carbon hydrogen has been injected into a UK gas network for the first time in a groundbreaking trial that could help to reduce carbon dioxide emissions. The 20% hydrogen and natural gas blend is being used to heat 100 homes and 30 faculty buildings at Keele University in Staffordshire. Unlike natural gas, when hydrogen is burned it produces heat and water as opposed to carbon dioxide. “Heat hasn’t been particularly decarbonised to date and it’s a very big challenge,” said Lorna Millington, the future networks manager at Cadent, the gas distribution network that led the £7m HyDeploy project. “The aim was to turn the theoretical evidence into something real and tangible that the consumers within the Keele network are now getting to experience every day.” Heating homes and businesses accounts for half of the UK’s energy consumption and a third of its carbon dioxide emissions. Rolling the 20% hydrogen blend out across the country could save about 6m tonnes of carbon dioxide emissions a year, the equivalent of taking 2.5m cars off the road. The hydrogen is captured using an electrolyser, which runs electricity through water to split it back into hydrogen and oxygen. This can then be injected into existing modern gas networks, with no need for customers to change appliances or pipework. The Health and Safety Executive granted the project exemption in 2018 from the current 0.1% limit on hydrogen in the UK gas network after an extensive examination of evidence to ensure it would be safe. Keele University was identified as an ideal location, because it owns and operates a private gas network that can be isolated from the main network. Two years of preparation involved gas safety checks on all buildings in the trial, laboratory tests on gas appliances and research on the effect of hydrogen on materials found in the gas network. All appliances sold after 1996 must be able to sustain 23% hydrogen under current regulations. “The materials we use in our network are actually more than capable of dealing with the levels of hydrogen that we were looking at,” said Millington. The trial will run until July and if successful a pilot will be rolled out in the north-east to deliver the 20% hydrogen blend to 670 domestic and commercial properties in Winlaton, Gateshead. Mark Horsley, the chief executive officer at Northern Gas Networks, said: “We’re really excited about the opportunity. There is a strong groundswell for decarbonisation, and I think opportunities for each individual home to contribute to that is quite powerful.” The pilot, the first of its kind in the UK, would start in December and run for 10 months. Customers have already been notified about the upcoming change. “Early indications are that it’s going to be very positively received,” said Horsley. The project is part of global exploration into the potentials of a “hydrogen economy”, in which the gas could also be used to generate electricity and produce heat with benefits for transport, heavy industry and domestic energy use. The energy needed to produce hydrogen from water can be provided by solar, hydro or wind power to produce “green hydrogen”, but there are challenges in doing so at scale. It still may be some time before the technology can be rolled out nationally, but “the 20% is a massive step forward for us as an industry and for the UK in achieving that net zero goal”, Horsley said."
Repair vouchers trial across north London; hope to roll out nationwide if successful,https://www.theguardian.com/environment/2025/mar/06/repair-shops-broken-devices-new-lease-of-life,"There is a pause in the hubbub of conversation in the workshop and everyone watches as a young man plugs in the vacuum cleaner that just minutes earlier had been in several pieces on his workbench. As the machine whirs into life, the people in the room break out into muted cheers and clapping. There are smiles all round. Over the course of the next hour, Vincent Pearce, a 24-year-old American studying design at the Royal College of Art in London, and his fellow volunteer, Tony Woolf, a retired BBC sound engineer, help fix a range of electrical equipment brought in by hopeful owners – from a radio alarm clock to a CD player; a hotplate to a lamp. Woolf says: “It is such a great thing to be involved in. Doing something positive and hopefully helpful … it is just a lovely place to be.” The Fixing Factory in Camden is one of a range of repair options springing up around the UK – from repair shops to pop-up cafes or repair hubs – that is trying to meet the growing demand for fixing rather than throwing away broken possessions. Advocates say the trend has several upsides – from cutting household costs to reducing waste, tackling emissions and creating jobs. Fiona Dear from the Restart Project, one of two groups behind the Fixing Factory in Camden, says: “There is so much resource that goes into making these electrical products that for some, like laptops and phones, up to 80% of their lifetime emissions come before they even get into the customers’ hands. So if you don’t keep them going for as long as possible we are just wasting all those resources.” The UK has an unenviable record when it comes to e-waste, ranking second worst in the world per capita, behind Norway. A study found that almost half a billion small, cheap everyday electrical items had ended up in landfill in the UK in just 12 months. Now a new scheme that has transformed “repair culture” in other European countries is to be trialled in the UK. Repair vouchers, which give people 50% off the cost of repairing broken electrical items, will be available from next month in a trial across north London. If it is successful, advocates hope it will be rolled out nationwide. Dear says: “It’s a really exciting development because this will mean it is cost efficient for people to repair all sorts of products, from kettles to vacuum cleaners, which people can often just think: ‘Oh, why don’t I throw it away and get a new one – they are not that expensive.’ Now there will be a viable alternative.” A similar scheme in Austria, initiated by the climate ministry, has had a huge impact, with 1.5m repair vouchers used at 3,000 repair shops since it was set up in 2022. Experts estimate it has saved about 4,000 tonnes of e-waste. Karin Huber-Heim, director of Circular Economy Forum Austria, says: “It has been a real success story. It is very well known and liked here and has helped establish a thriving repair industry and culture that we want to last long after the voucher scheme has ended.” One challenge that advocates in both the UK and Austria have identified is a paucity of people with the required skills to carry out the repairs. Dear says: “What we’re hearing is that there is loads and loads of demand [for repair services] – but the problem is that many existing shops and set-ups are struggling to get in new repair technicians as older ones reach retirement.” She says repair skills are no longer taught in school or at home. “There aren’t any repair accreditation schemes. There’s nothing that is bringing people into repair and so, basically, repairers are retiring, and then they’re closing down their businesses.” In Austria, Huber-Heim says they are considering including repair skills in all their apprenticeships – from solar panel engineering to bicycle mechanics. “We realised that there is no point setting up a separate repair qualification because repairing a solar panel is different to a fridge, [which] is different to a bike.” The UK scheme will launch on 1 April. Repair businesses can sign up online and then customers can go to the same website, download a voucher and look up which repair shop might be able to help in their area. Boosting repair culture is just one part of the solution to what is a structural problem. Campaigners are also calling for: Products to be designed so repairs are easier. The removal of VAT on parts and labour for repairs. A repair index to help the public choose more repairable and durable products. Discount rates from councils for repair shops. New qualifications to encourage repair training, accreditation and apprenticeships. Back at the Fixing Factory in Camden, a steady stream of people are still coming through the door, clutching broken vacuum cleaners, lamps and kettles. Sarah Howden, head of sustainable consumption at the charity Possible that helps run the programme, says the demand has been so strong the centre is now offering courses to train new fixers – as well as sessions for those that just want to brush up on DIY skills. Howden says this is just the start: they are planning two new Fixing Factories in London in the coming months and have the ambitious target of a repair hub on every high street in the country. “There is a real desire from all sorts of people to be able to repair things rather than throw them away and that helps not just in terms of cost but also the environment. It is one of those things that just makes sense from every angle.”"
Almost half of seven-day trial surgeries have cut hours after lack of demand,https://www.theguardian.com/society/2015/sep/29/almost-half-seven-day-trial-gp-surgeries-cut-hours-after-lack-of-demand,"Almost half of the GP surgeries that began opening in evenings and at weekends to fulfil David Cameron’s pledge of 8am to 8pm seven-day access have cut their hours because so few patients came. Pulse, the magazine for GPs, has learned that eight of the 18 pilot areas in England given money last year to roll out the scheme have scaled back the hours they operate or stopped offering appointments outside normal working hours altogether. The findings raise serious doubts about the need for and viability of surgeries routinely offering extended opening hours, especially given the serious shortage of GPs. The 18 NHS areas were last year given shares of the £50m “prime minister’s challenge fund” to help deliver the high-profile pledge that Cameron first made in October 2013. He said every patient in England would be able to visit a GP in their area from 8am to 8pm every day of the week by 2020. But in Devon, for example, four surgeries that began opening between 9am and 5pm on Saturday and Sunday are no longer operating at those times, Pulse established. In Slough, the local GP-led NHS clinical commissioning group has reduced what was originally a 9am to 5pm appointments service on both weekend days to just four hours on each. Derbyshire has done much the same at its two seven-day GP hubs, and now offers consultations for only three hours on Saturday or Sunday, rather than the 12 hours each day originally provided. Similarly, the clinical commissioning groups that commission and pay for healthcare on behalf of patients in five north-west London boroughs have cut the opening hours for their seven-day access pilots. The fact that few patients want to see a GP outside of normal office hours, and especially at weekends, has raised fresh questions about whether extended hours are a good use of NHS resources. GP organisations said the lack of demand affirmed their reservations that Cameron’s determination to create “the first truly 24/7 NHS” by 2020 was misguided. Dr Maureen Baker, chair of the Royal College of GPs, said: “It doesn’t surprise me that schemes to extend access to GP services have not been as popular as the government predicted. Seven-day access to their GP surgery will be popular with some patients, but it won’t be popular with others, which is why it is essential that services are tailored to the needs of local populations. “Access to GP services is extremely important but prioritising weekend and evening access must not come at the expense of access and services during normal hours so that patients end up worse off. “GPs and our teams are making 370m patient consultations a year – 60m more than we were just five years ago – but over the same period, the GP workforce has remained relatively stagnant.” While the £50m extra funding was welcome, GPs should be left to decide how they organised their services locally to best benefit patients, she added. “We question whether it would be a good use of NHS resources for patients to be able to have their ears syringed on a Sunday teatime. We urge government to move away from their preoccupation with offering a seven-day NHS, and instead concentrate on securing our existing general practice service and out-of-hours services, so that we can deliver the care our patients need and deserve, close to home, when they need it,” said Baker. Nigel Praities, the editor of Pulse, said: “This surely must be a wake-up call for the prime minister. His plan to roll out seven-day access to GPs is floundering, and he must look at diverting the funds to shore up core services instead.” But the Department of Health dismissed Pulse’s findings as “anecdotal” and part of its negative “agenda” on seven-day GP opening. “This anecdotal investigation does not contain the full facts”, said a spokeswoman. “Earlier this year some pilots told us they extended their opening hours further following patient demand and an independent first evaluation of the wave one schemes will be published soon. We know Pulse’s agenda when it comes to seven day services but patients want to see a GP in the evenings and weekends. “We are committed to making this happen to help keep people well and out of hospital.”"
