round_id,query_index,query,timestamp,template,components,articles_found,total_available,high_relevance,precision,new_terms_mined,status
6,1,"(""randomised controlled trial"" OR ""A/B test"" OR ""controlled trial"") AND (""implement"" OR ""roll out"" OR ""adopt"") AND (""approval"" OR ""drinking"" OR ""contraception"")",2026-02-11 10:42:31,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['randomised controlled trial', 'A/B test', 'controlled trial'], 'DECISION': ['implement', 'roll out', 'adopt'], 'CONTEXT': ['approval', 'drinking', 'contraception'], 'NOISE': ['sport', 'letters']}",11,11,PENDING,0.0,[],FETCHED
6,1,"(""randomised controlled trial"" OR ""A/B test"" OR ""controlled trial"") AND (""implement"" OR ""roll out"" OR ""adopt"") AND (""approval"" OR ""drinking"" OR ""contraception"")",2026-02-11 10:42:31,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['randomised controlled trial', 'A/B test', 'controlled trial'], 'DECISION': ['implement', 'roll out', 'adopt'], 'CONTEXT': ['approval', 'drinking', 'contraception'], 'NOISE': ['sport', 'letters']}",11,11,0,0.0,[],COMPLETED
6,2,"(""evaluation"" OR ""controlled trial"" OR ""field experiment"") AND (""funding"" OR ""approve"" OR ""decision to"") AND (""findings"" OR ""placebo"" OR ""care"")",2026-02-11 10:42:53,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['evaluation', 'controlled trial', 'field experiment'], 'DECISION': ['funding', 'approve', 'decision to'], 'CONTEXT': ['findings', 'placebo', 'care'], 'NOISE': ['review', 'sport']}",50,1233,PENDING,0.0,[],FETCHED
6,2,"(""evaluation"" OR ""controlled trial"" OR ""field experiment"") AND (""funding"" OR ""approve"" OR ""decision to"") AND (""findings"" OR ""placebo"" OR ""care"")",2026-02-11 10:42:53,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['evaluation', 'controlled trial', 'field experiment'], 'DECISION': ['funding', 'approve', 'decision to'], 'CONTEXT': ['findings', 'placebo', 'care'], 'NOISE': ['review', 'sport']}",50,1233,3,0.06,"['alzheimer', 'lilly', 'cervical', 'cervical cancer', 'eli lilly']",COMPLETED
6,3,"(""controlled trial"" OR ""A/B test"" OR ""field experiment"") AND (""expand"" OR ""terminate"" OR ""approve"") AND (""thousands"" OR ""director"" OR ""death"")",2026-02-11 10:44:01,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['controlled trial', 'A/B test', 'field experiment'], 'DECISION': ['expand', 'terminate', 'approve'], 'CONTEXT': ['thousands', 'director', 'death'], 'NOISE': ['letters', 'live blog']}",19,19,PENDING,0.0,[],FETCHED
6,3,"(""controlled trial"" OR ""A/B test"" OR ""field experiment"") AND (""expand"" OR ""terminate"" OR ""approve"") AND (""thousands"" OR ""director"" OR ""death"")",2026-02-11 10:44:01,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['controlled trial', 'A/B test', 'field experiment'], 'DECISION': ['expand', 'terminate', 'approve'], 'CONTEXT': ['thousands', 'director', 'death'], 'NOISE': ['letters', 'live blog']}",19,19,1,0.0526,"['chemotherapy', 'standard', 'cancer research', 'reduce', 'delivered']",COMPLETED
6,4,"(""terminate"" OR ""roll out"" OR ""expand"") AND (""treatment"" OR ""time"" OR ""options"") AND NOT (""controlled trial"" OR ""A/B test"" OR ""impact evaluation"")",2026-02-11 10:44:31,(DECISION) AND (CONTEXT) AND NOT (METHOD),"{'METHOD': ['controlled trial', 'A/B test', 'impact evaluation'], 'DECISION': ['terminate', 'roll out', 'expand'], 'CONTEXT': ['treatment', 'time', 'options'], 'NOISE': ['sport', 'review']}",50,38954,PENDING,0.0,[],FETCHED
6,1,"(""field experiment"" OR ""controlled trial"" OR ""impact evaluation"") AND (""hormone sensitive"" OR ""capivasertib"" OR ""levonorgestrel"") AND NOT (""letters"" OR ""podcast"")",2026-02-11 10:45:08,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['field experiment', 'controlled trial', 'impact evaluation'], 'DECISION': ['decision to', 'terminate', 'adopt'], 'CONTEXT': ['hormone sensitive', 'capivasertib', 'levonorgestrel'], 'NOISE': ['letters', 'podcast']}",1,1,PENDING,0.0,[],FETCHED
6,1,"(""field experiment"" OR ""controlled trial"" OR ""impact evaluation"") AND (""hormone sensitive"" OR ""capivasertib"" OR ""levonorgestrel"") AND NOT (""letters"" OR ""podcast"")",2026-02-11 10:45:08,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['field experiment', 'controlled trial', 'impact evaluation'], 'DECISION': ['decision to', 'terminate', 'adopt'], 'CONTEXT': ['hormone sensitive', 'capivasertib', 'levonorgestrel'], 'NOISE': ['letters', 'podcast']}",1,1,1,1.0,"['used', 'emergency contraception', 'sexual', 'pill', 'morning']",COMPLETED
6,2,"(""randomised controlled trial"" OR ""evaluation"" OR ""A/B test"") AND (""hormone sensitive"" OR ""hydroxychloroquine"" OR ""options"") AND NOT (""sport"" OR ""live blog"")",2026-02-11 10:45:12,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['randomised controlled trial', 'evaluation', 'A/B test'], 'DECISION': ['terminate', 'expand', 'implement'], 'CONTEXT': ['hormone sensitive', 'hydroxychloroquine', 'options'], 'NOISE': ['sport', 'live blog']}",50,658,PENDING,0.0,[],FETCHED
