title,url,body
Dexamethasone: low-cost drug helps prevent deaths of sickest coronavirus patients,https://www.theguardian.com/world/2020/jun/16/steroid-found-to-help-prevent-deaths-of-sickest-coronavirus-patients,"A cheap steroid has become the first life-saving treatment in the Covid-19 pandemic, described by scientists as “a major breakthrough” and raising hopes for the survival of thousands of the most seriously ill. Dexamethasone is available from any hospital pharmacy, and easily obtainable anywhere in the world. Investigators said the drug was responsible for the survival of one in eight of the sickest patients – those who were on ventilators – in the Recovery trial, the biggest randomised, controlled trial of coronavirus treatments in the world. The government announced immediate approval for the use of the drug in Covid-19 patients. The UK was leading the way, said the health secretary, Matt Hancock. “This astounding breakthrough is testament to the incredible work being done by our scientists behind the scenes. “From today the standard treatment for Covid-19 will include dexamethasone, helping save thousands of lives while we deal with this terrible virus.” Boris Johnson hailed the successful trial at Tuesday’s Downing Street press conference. “Today, there is genuine cause to celebrate a remarkable British scientific achievement, and the benefits it will bring, not just in this country but around the world,” the prime minister said. “This drug, dexamethasone, can now be made available across the NHS, and we’ve taken steps to ensure we have enough supplies, even in the event of a second peak.” However, he said death rates from the disease remained “far too high: so we must redouble our research efforts, and we certainly will.” Hancock spoke within hours of the Oxford University investigators announcing their findings, which they said were definitive. Dexamethasone reduced deaths among patients on ventilators by up to one-third and among those on other oxygen support by one-fifth. “It is the only drug so far shown to reduce mortality and it reduces it significantly,” said Peter Horby, a professor of emerging infectious diseases in the Nuffield department of medicine at the University of Oxford, and one of the chief investigators of the trial. “It is a major breakthrough, I think.” Prof Martin Landray, his co-chief investigator, said the sickest patients could begin to be treated with the drug immediately, anywhere in the world. “The search has been on for a treatment that actually reduces the risk of dying. There hasn’t been one until today. “This is a drug that is globally available. This is not an expensive drug. That is immensely important.” Dexamethasone was one of the first drugs to be included in Recovery, the biggest randomised controlled study of drugs against Covid-19 in the world, which has now recruited more than 11,500 patients from 176 hospitals across the whole of the UK. It was chosen because it works against inflammation, including in the lungs, and is cheap, known to be safe in low doses and widely available. A total of 2,104 patients were chosen at random to receive 6mg of dexamethasone once a day (either by mouth or by intravenous injection) for 10 days. Their outcomes were compared with 4,321 patients chosen at random to continue with normal care alone. Without the drug, death rates at 28 days were highest in those who needed to be put on a ventilator (41%), intermediate in those who required oxygen only (25%), and lowest among those whose lungs were working sufficiently well (13%). Dexamethasone reduced deaths by one-third in ventilated patients and by one-fifth in other patients receiving oxygen only. There was no benefit among those patients who did not need help to breathe. Landray said there was no room for doubt. “This is not the play of chance. This is a completely compelling result,” he said. “If one treated around eight ventilated patients, one patient would survive because of that treatment who would not have survived if you hadn’t given that treatment.” Among those needing oxygen, one life would be saved for every 25 patients treated, he said. “If you put that in the scale of the UK epidemic over the last few months, the difference dexamethasone [would have made] is around 4,000 or 5,000 lives and clearly the epidemic is an international issue. “This is a result of instant global importance because this drug is readily available. It’s been around for probably 60 years, it costs in the order of £5 for a complete course of treatment in the NHS and substantially less – probably less than $1 – in other parts of the world, for example in India.” Last week, the Recovery team, who have been trialling seven drugs and will add more, concluded that hydroxychloroquine did not benefit patients in hospital with Covid-19. That result has also had global impact, with first the US regulator, the Food and Drug Administration, revoking the drug’s emergency authorisation and then its UK counterpart, the Medicines and Healthcare products Regulatory Authority, suspending any further patient trials. Other scientists agreed the dexamethasone result was a breakthrough. Sir Patrick Vallance, the government’s chief scientific adviser, said: “This is tremendous news today from the Recovery trial showing that dexamethasone is the first drug to reduce mortality from Covid-19. It is particularly exciting as this is an inexpensive, widely available medicine. “This is a groundbreaking development in our fight against the disease, and the speed at which researchers have progressed finding an effective treatment is truly remarkable. It shows the importance of doing high-quality clinical trials and basing decisions on the results of those trials.” The NHS chief executive for England, Simon Stevens, said: “NHS hospitals, researchers and clinicians have worked together at breakneck speed to test new treatments for Covid-19, and it is amazing to see work that would normally take years bear fruit in just a matter of months.” Prof Stephen Powis, NHS medical director for England, said it was “a huge breakthrough in our search for new ways to successfully treat patients with covid, both in the UK and across the world. “It is thanks to NHS staff and patients who participated in the trial that from now, we are able to use this drug to dramatically improve Covid-19 survival for people in hospital who require oxygen or ventilation.” • This article was amended on 17 June 2020 to clarify that dexamethasone is widely available at hospital pharmacies, not necessarily at all pharmacies."
Stop and breathe: police staff offered meditation lessons,https://www.theguardian.com/uk-news/2019/nov/05/mindful-policing-uk-staff-to-receive-meditation-lessons,"Meditation lessons aimed at reducing stress will be made available to all 200,000 police staff in England and Wales after a trial across five forces found the practice improved average wellbeing, life satisfaction, resilience and work performance. More than 600 officers and staff in Avon and Somerset, Bedfordshire, Cambridgeshire, Hertfordshire and South Wales spent six months practising mindfulness techniques – originally derived from Buddhism – as part of a randomised controlled trial overseen by the College of Policing. The staff were divided into two groups, one using Headspace, a commercial meditation app set up by a former Buddhist monk, and the other using Mindfit Cop, a new police-focused course. A third group was asked not to use any mindfulness techniques. The researchers found that the first two groups recorded “meaningful improvements” in wellbeing as well as life satisfaction and resilience, as compared with the control group. However there was no evidence that online training in mindfulness reduced sick leave as had been hoped. “This research has produced strong evidence that online mindfulness training can improve the wellbeing of police employees,” a report into the trial concluded. “As a result, the online training course Mindfit Cop has been made available free to all employees ... the wellbeing benefits could be reasonably expected to have knock-on effects for productivity and performance.” The conclusion follows similar trials among police and armed forces in the US suggesting the practice has positive effects. At least 185 MPs have taken mindfulness courses provided at the Houses of Parliament and mindfulness-based cognitive therapy courses are prescribed on the NHS in some areas to prevent recurrent depression. The course reduces the likelihood of relapse by almost a third, according to an analysis of nine trials. But there were difficulties with the police trial too. Some of the staff said fitting the practice into an already hectic schedule increased their feelings of stress, while others said they felt embarrassed or they felt guilty about taking the time out. The cohort of officers trialling the techniques was also dominated by women, partly because there were more administrative staff than officers involved. The report recommends that forces consider making a “quiet room” available in each station to allow for short breaks away from open-plan spaces. It also said supervisors should be briefed on the benefits of mindfulness and make clear to staff that they have permission to undertake short periods of the practice during work time. Modern mindfulness practices emerged in the 1970s when the Boston professor Jon Kabat-Zinn took the Buddhism out of meditation to create a system to tackle pain in chronically ill patients. He then worked with others to develop mindfulness-based cognitive therapy courses to tackle mental health problems. He has defined mindfulness as “the awareness that arises from paying attention, on purpose, in the present moment and non-judgmentally”. By meditating and focusing on the breath, the idea is to cultivate attention on the body and mind as it is, moment to moment, and so help with pain, both physical and emotional. “Nearly 8 million UK adults have now likely tried mindfulness practice, including many thousands of civil servants in Whitehall,” said Jamie Bristow, the director of the Mindfulness Initiative and secretary to the all party parliamentary group on mindfulness. “However, without evidence specific to their departments they have so far been unable to fund widespread training for their colleagues at the coalface of public services. This new research into mindfulness in policing builds on trials conducted recently in health, education, justice and defence, so we should soon see our frontline workers being offered better access to this important innovation.”"
Pupils to get lessons in fighting depression,https://www.theguardian.com/education/2008/sep/18/schools.children,"Thousands of pupils at schools across the UK are to learn how to fend off depression through classes in cognitive behavioural therapy (CBT). More than 7,000 students will take part in a trial of a ""positive thinking"" programme led by the University of Bath and aimed at preventing teenagers developing problems with depression. Around one in 10 children have symptoms that place them at high risk of becoming seriously depressed. If left unmanaged, these problems could have a significant impact on their everyday lives and increase the possibility of mental health issues in young adulthood. The £1.25m NHS-funded programme is targeted at 13- to 16-year-olds at schools in Bath, Bristol, Nottingham, Swindon and Wiltshire. The programme is based on CBT, which teaches people to think positively, cope with difficult situations and problem solve. As part of Personal Social and Health Education (PSHE), pupils will be taught to acknowledge their personal strengths, identify negative thought processes and develop problem-solving skills. Researchers believe this kind of positive health intervention could reduce the risk of vulnerable pupils developing mental health problems, and say all children will benefit from developing a robust approach to the challenges of life. Prof Paul Stallard, a clinical psychologist in Bath's Mental Health Research and Development Unit and the academic leading the project, said: ""Depression is a serious problem among adolescents. Studies have shown that if we give young people the tools that can help them build resilience, they can avoid this becoming a problem in later life. ""If this trial is successful, we would to be able to roll out this programme to schools throughout the country."" ""We're particularly excited because it's whole school groups and an evidence-based programme that we're trialling,"" Stallard said. Teenagers are more prone to depression, he said, and the whole school nature of the exercise will mean that no children are stigmatised and they will all become more emotionally resilient. ""It's a large study so it has the potential to get some meaningful results and it's a randomised trial so we'll be able to explore a bit more what makes these programmes effective,"" he said. The programme should also prove how many savings are made by fewer costly mental health referrals and pupils taking days off school. The programme involves academics from the universities of Bath, Bristol and Nottingham and the Peninsular medical school, and is linked to local clinical services. Following an initial screening, the CBT programme will be delivered in 10 weekly classroom sessions. The researchers will compare the effects of the programme being delivered by teachers and by specially trained facilitators from outside the school. Further assessments will be carried out immediately after the CBT programme and at six months and one year after the trial. These will look at whether the rates of depressive symptoms among the children have been reduced, particularly those who were initially identified as having serious symptoms. A pilot programme is due to start in January next year, with the main study taking place between September 2009 and July 2010. ""CBT works by improving the individual's ability to deal with negative situations and to acknowledge and focus on more positive skills and outcomes,"" said Stallard. Stallard's book on CBT - Think Good, Feel Good – has been highly commended by the British Medical Association and translated into 13 languages. He will be presenting his latest findings at a conference at the university tomorrow."
New online therapies could help at least twice number of people recover from anxiety,https://www.theguardian.com/society/article/2024/jul/30/new-online-therapies-could-help-at-least-twice-number-of-people-recover-from-anxiety,"New NHS-approved online therapies could help two to three times the number of children and adults recover from anxiety and post-traumatic stress disorder, research suggests. One in five children and young people in England aged eight to 25 have a probable mental disorder and one in four adults in England experiences at least one diagnosable mental health problem in any given year, according to NHS England. But with long mental health waiting lists, soaring demand and some patients finding it difficult to attend face to face appointments, last year the National Institute for Health and Clinical Excellence early value assessment recommended a range of online therapies for use across the NHS. Four internet treatments developed by the University of Oxford will now be rolled out across NHS trusts, mental health facilities, schools and colleges from September. More than 20 areas have already signed up including West Sussex, Oxfordshire, Buckinghamshire, Leicestershire, Manchester, North Tyneside and London. The University of Oxford has licensed Koa Health to provide all four online therapies, which consist of separate online programmes for adults, adolescents and children aged five to 12 with social anxiety, and for adults with PTSD. For the adolescent and adult treatments, patients work through a series of online modules with around 20-30 minute telephone or video appointments with their therapist. The therapies can be accessed 24/7 and the content has been designed to replicate what you would get in face to face therapy, and is very personalised. For children, the programme involves parents and guardians being trained to provide the treatment at home, with support from a therapist. Studies have demonstrated the impact of all four of the online platforms. A randomised controlled trial of internet cognitive therapy for adults with social anxiety disorder found that patients recovered just as well as those receiving face to face treatment, but instead of it taking 19 hours of clinician time, it took only 6.5 hours. A separate trial of the adolescent version of the social anxiety internet therapy found that 77% of young people no longer had social anxiety at the end of treatment. “This is quite some achievement,” said David Clark, a professor of experimental psychology at the University of Oxford, “because with social anxiety, psychological treatments like general CBT are the least effective. “Our calculation is that if NHS therapists were able to use these programmes and support people through them, then they would be able to help two to three times the number of patients recover from social anxiety and PTSD.” Prof Anke Ehlers, a psychologist at the University of Oxford, who led the work on post-traumatic stress disorder (PTSD) said: “We’ve tested the digital therapy with patients who have PTSD from a broad range of traumas. Recovery rates and improvements in quality of life are excellent.” Patients value being able to receive their therapy from home at a time convenient to them, she added. Kerry McLeod, head of content for Mind, welcomed the expansion of online treatment but stressed it was important patients were able to choose what was right for them. She said: “We support the development of new digital therapies, and welcome talking therapies that are more accessible to those who may find face-to-face treatment more challenging. “Some people will find face-to-face therapies a more beneficial source of support, so it is crucial that people living with mental health problems have a choice in the type of treatment they receive” An NHS spokesperson said: “Hundreds of thousands of such therapies are delivered online for patients who need mental health care alongside support from a therapist every year. “The NHS recognises that more needs to be done to ensure more patients can receive access to timely mental health care and where clinically appropriate and in line with Nice guidance, using digital tools can help people who need this vital support.”"
Covid ‘booster’ trial will give third vaccine dose to UK volunteers,https://www.theguardian.com/science/2021/may/19/covid-booster-trial-will-give-third-vaccine-dose-to-uk-volunteers,"Thousands of volunteers will be injected with a third dose of Covid-19 vaccine as part of a trial to investigate which ones could be used as “booster” doses to protect against new variants and prevent hospitals from being overwhelmed by a potential fresh wave of infections this winter. The Cov-Boost trial – the first in the world to provide vital data on the impact of a third dose on patients’ immune responses – will study the effect of giving an additional dose of one of seven different vaccines to 2,886 UK participants, on top of the two doses of the Pfizer/BioNTech or Oxford/AstraZeneca vaccines they have already received. As well as examining the level of protection afforded by a third dose, the trial will also look at any side-effects triggered by these booster jabs. The results will be used by the Joint Committee on Vaccination and Immunisation (JCVI) to decide whether a booster dose is necessary, and which of the vaccines would be best suited for this use. Results are expected by the end of August, with a final decision taken by the JCVI in September. The UK has already ordered a further 60m doses of the Pfizer/BioNTech Covid vaccine to ensure that booster jabs can be given from this autumn, if necessary. These doses will be of the same formulation as those currently offered, rather than a modified version of the vaccine tweaked to address new circulating variants such as B.1.617.2, which was first detected in India. In addition to the Pfizer jab, the Cov-Boost trial will examine the impact of giving the Oxford/AstraZeneca vaccine or five other vaccines as a booster, on top of the two doses of the Pfizer or AstraZeneca vaccines volunteers will already have received. In some cases, people will receive a half dose of vaccine as the booster jab. The other vaccines which will be tested are the Moderna vaccine; the Janssen and Novavax vaccines, which are undergoing assessment by the Medicines and Healthcare products Regulatory Agency (MHRA); and two vaccines which are in phase 3 clinical trials in the UK – the CureVac vaccine, which uses the same mRNA technology as the Pfizer/BioNTech vaccine, and the Valneva vaccine, which uses killed Sars-CoV-2 virus to trigger an immune response. The UK government has already secured access to doses of all of these vaccines. “The hope of the booster is that we raise antibody levels enough to be able to cover existing and variant strains of coronavirus,” said Prof Saul Faust, the director of the NIHR Southampton Clinical Research Facility, and the trial’s chief investigator. “There are two ways of doing this: one is to have high enough antibody levels from the original vaccine strain, and the other is to change the vaccines. This is not a trial about the changed vaccines, which is a study for the future.” Faust and colleagues will measure the level of immune response triggered by a third vaccine dose and how successful this is against new variants including the India variant, those first detected in Kent and South Africa, and any new variants of concern that emerge, as well as against the original Wuhan strain. The team will also investigate any side-effects triggered by a booster dose of these vaccines in both younger and older adults, compared with a placebo vaccine – the meningococcal vaccine, used to protect against meningitis. The health secretary, Matt Hancock, said: “The UK vaccination programme has been a phenomenal national effort, with seven in 10 UK adults now having had their first Covid-19 jab. “We will do everything we can to future-proof this country from pandemics and other threats to our health security, and the data from this world-first clinical trial will help shape the plans for our booster programme later this year. “I urge everyone who has had both doses of a Covid-19 vaccine, and is eligible, to sign up for this study and play a part in protecting the most vulnerable people in this country and around the world for months and years to come.” The researchers are asking adults aged 30 years or older who received their first vaccine dose in December or January to sign up for the study, with volunteers expected to be invited for screening at one of 18 trial sites across the UK from early June."
Labor pledges to transform policy-making by creating evaluator general,https://www.theguardian.com/australia-news/2018/nov/13/labor-pledges-to-transform-policy-making-by-creating-evaluator-general,"If your child is struggling to read, would you consider enrolling them in weekly reading sessions at your local library with trained instructors? Well, according to a randomised trial in England, that type of program has already been tried and it produced zero improvement in literacy skills. Labor is pledging to transform Canberra’s policy-making by introducing similar high-quality evaluations of commonwealth government programs to ensure taxpayers stop funding initiatives that aren’t working. The shadow assistant treasurer, Andrew Leigh, says if Labor wins the election it will create an “Office of the Evaluator General”, to be based within Treasury, to conduct rigorous evaluations of government programs. These would preferably be randomised trials whereby one group is exposed to the new program and another sticks with the existing policy. The evaluator general will be funded with $5m per year, starting in 2019-20. “Increasingly, policymakers in other nations are testing programs through randomised trials, with the same kind of control group used to evaluate new pharmaceuticals in clinical drug trials,” Leigh says. “When Australian policymakers develop programs in early childhood, health, crime and employment, we often look to those overseas randomised trials. “But while there have been a handful of local randomised policy trials – such as Victoria’s Journey to Social Inclusion experiment and the Early Years Education Program – relatively few Australian policies are subjected to rigorous evaluation. “The Auditor General, the Productivity Commission, the Australian Institute of Health and Welfare, the former Coag Reform Council and the Grattan Institute have all called for better evaluation of Australian government programs. The test-learn-adapt approach is vital to making progress on major challenges such as wage inequality, social mobility and Closing the Gap.” Leigh will announce the plan in a speech to the Australian National University on Tuesday. He will tell the audience at the ANU that half of Australia’s politicians and one-third of British politicians worry that randomised trials are unfair because voters are chosen at random to receive a new policy intervention – but rejecting randomised trials on the grounds of unfairness seems at odds with the fact that that is exactly what already happens with “pilot studies”. Leigh has credited the work of economist Dr Nicholas Gruen who has explained the value in creating an institution which could develop true expertise in evaluation. “As Australia faces challenges such as inequality, climate change and indigenous disadvantage, it’s time we raised the evidence bar,” Leigh says in speaking notes seen by Guardian Australia. “At a time when government budgets are under pressure, there’s no excuse for continuing to fund programs that don’t work.” The evaluator general will collaborate with existing evaluation bodies such as the Office of Development Effectiveness inside the department of foreign affairs and trade. It will also work with the Evidence Institute for Schools, a body Labor has promised to create within the department of education and training."
Labor launches new body to evaluate public programs using randomised trials,https://www.theguardian.com/australia-news/2023/aug/29/labor-australian-centre-for-evaluation,"Mimicking the way pharmaceutical companies use data to develop new drugs could help save the federal government millions of dollars while also making spending fairer, according to the assistant Treasury minister. Andrew Leigh will use a National Press Club speech on Tuesday to help launch the Australian Centre for Evaluation (ACE), a body funded in the May 2023 budget with an initial $10m over four years to design better policies. “If it was easy to close life expectancy gaps, educational gaps or employment gaps, then past generations would have done it already,” he will say, according to a copy of his speech. “The fact that these challenges persist means that good intentions aren’t enough.” Scientists have long deployed randomised trials to test results of a treatment against a control group. For instance, almost 275 years ago, the Scottish physician James Lind used oranges and lemons against cider and even sea water to prove the benefits of providing sailors with citrus to fight scurvy. Sign up for Guardian Australia’s free morning and afternoon email newsletters for your daily news roundup “In the decades since randomised trials became broadly accepted as the best way of evaluating medical treatments, millions of lives have been saved,” Leigh said. “That isn’t because every treatment that has emerged from the laboratory has worked. It’s because medicine has subjected those treatments to rigorous evaluation.” Leigh said the commonwealth alone spent at least $52m in 2021-22 on external consultants to evaluate programs’ effectiveness. Costly pilot studies, for example, can be avoided with the use of small control groups or analysis of existing data already on hand. The 2019 Thodey review found the Australian Public Service’s approach to program evaluation to be “piecemeal in both scope and quality, and that this diminishes accountability and is a significant barrier to evidence-based policymaking”. Leigh said the centre with its 14 staff would work with other departments to set priorities. “Early indications are that there’s strong enthusiasm from a number of agencies, including employment,” he told Guardian Australia. “We’re keen to work with states and territories, which was part of the thinking behind the name,” and even extend to non-government groups, Leigh said. He was also “keen for ACE to grow”, provided it met its own evaluation criteria. “The first test will be that ACE is doing rigorous evaluations, including randomised trials,” he said. “The second test will be that evaluation findings are being reflected in government policy, with ineffective programs being adjusted or ended and effective ones being scaled up.” Leigh said better evaluation wouldn’t merely improve governments’ productivity, it would also “create a more equal nation”. “When government fails, the most affluent have private options – private transport, private education, private healthcare, and private security,” he will say in his speech. “It’s the poorest who rely most on government, and the most vulnerable who stand to gain when government works better. Disadvantaged Australians don’t need ideology, they need practical solutions that improve their lives.”"
UK regulator approves Pfizer Covid vaccine for 12- to 15-year-olds,https://www.theguardian.com/world/2021/jun/04/uk-regulator-approves-pfizer-covid-vaccine-for-12-to-15-year-olds,"The UK regulator has approved the use of the Pfizer/BioNTech Covid vaccine in children aged 12 to 15, potentially opening the way for a vaccination campaign in schoolchildren. The decision on giving the vaccine to children rests with the government’s advisory body, the Joint Committee on Vaccination and Immunisation (JCVI), who will now look at the evidence. Children are generally less severely affected by Covid than adults, apart from a small minority who have suffered a debilitating condition as a result of infection called multisystem inflammatory syndrome. Most recover, although there appear to be some lingering longer-term effects, and a few have died. Mass immunisation of children, however, would help protect the adult population and particularly grandparents and other older relatives, who are especially vulnerable. That is also the rationale behind flu vaccination for young children. The Medicines and Healthcare products Regulatory Authority (MHRA) and the independent Commission on Human Medicines (CHM) said they had weighed the evidence of trials in children and believe the Pfizer vaccine is safe and effective. It has already been approved for use in children aged 12 to 15 in the US. “We have carefully reviewed clinical trial data in children aged 12 to 15 years and have concluded that the Pfizer/BioNTech Covid-19 vaccine is safe and effective in this age group and that the benefits of this vaccine outweigh any risk,” said Dr June Raine, the MHRA chief executive. “We have in place a comprehensive safety surveillance strategy for monitoring the safety of all UK-approved Covid-19 vaccines and this surveillance will include the 12- to 15-year age group. “No extension to an authorisation would be approved unless the expected standards of safety, quality and effectiveness have been met. “It will now be for the Joint Committee on Vaccination and Immunisation to advise on whether this age group will be vaccinated as part of the deployment programme.” Both Pfizer and Moderna, which make similar vaccines, have reported 100% efficacy in the age group – meaning none of the children in the trials developed Covid symptoms. AstraZeneca has begun trials in younger children and aims to enrol 300 volunteers aged six to 18 across four sites in London, Oxford, Bristol and Southampton. Prof Sir Munir Pirmohamed, the chair of the CHM, said it had looked carefully for any potential risk of side-effects. “There has been a thorough assessment and review of this data which was also looked at specifically by the CHM’s paediatric medicines expert advisory group who are scientific experts within this age group, as well as the CHM’s Covid-19 vaccines benefit risk expert working group,” he said. “We have concluded that based on the data we have seen on the quality, effectiveness and safety of the vaccine, its benefits do outweigh any risk. The MHRA will continue to scrutinise all of the suspected side-effects data received through the rigorous surveillance programme in place through the yellow card scheme and other safety surveillance measures for all of the Covid-19 vaccines used in the UK. “Over 2,000 children aged 12 to 15 years were studied as part of the randomised, placebo-controlled clinical trials. There were no cases of Covid-19 from seven days after the second dose in the vaccinated group, compared with 16 cases in the placebo group. In addition, data on neutralising antibodies showed the vaccine working at the same level as seen in adults aged 16 to 25 years. These are extremely positive results.”"
UK medicines regulator approves Pfizer’s ‘life-saving’ Covid pill,https://www.theguardian.com/world/2021/dec/31/uk-medicines-regulator-approves-pfizers-life-saving-covid-pill-paxlovid,"UK regulators have approved Pfizer’s “life-saving” antiviral drug Paxlovid, which boasts nearly 90% success in preventing severe illness among vulnerable adults if taken soon after becoming infected with Covid-19. The Medicines and Healthcare products Regulatory Agency (MHRA) found the oral treatment “to be safe and effective at reducing the risk of hospitalisation and death in people with mild to moderate Covid-19 infection, who are at an increased risk of developing severe disease”. The agency said Paxlovid was most effective when taken during the early stages of a Covid infection, and recommended it was used within five days of a patient’s first symptoms. The approval is for patients aged 18 and over with at least one risk factor for developing severe illness, such as obesity or diabetes, or being over 60. Dr June Raine, the MHRA’s chief executive, said: “We now have a further antiviral medicine for the treatment of Covid-19 that can be taken by mouth rather than administered intravenously. This means it can be administered outside a hospital setting, before Covid-19 has progressed to a severe stage. “I hope the announcement gives reassurance to those particularly vulnerable to Covid-19, for whom this treatment has been approved. For these individuals, this treatment could be life-saving.” Before Christmas Pfizer said the UK government had agreed to purchase 2.5m courses of Paxlovid after an earlier purchase of 250,000 doses, conditional on regulatory approval. The MHRA noted that Paxlovid was “not a substitute for vaccination”, and said vaccines and boosters remained the best way to avoid being hospitalised because of Covid. Pfizer has said the drug showed near 90% efficacy in preventing hospitalisations and deaths in high-risk patients, with recent data suggesting the pill was also effective against the Omicron variant. In a clinical trial involving high-risk adults with Covid, Paxlovid reduced the rate of severe illness by 89% compared with a placebo group. Just three out of 389 patients were hospitalised or died from Covid-19 after taking the drug within three days of symptoms, compared with 27 out of 385 in the placebo group. Scientists said Paxlovid worked through protease inhibitors, which prevent a virus from replicating. These were similar to those used to treat HIV, making it beneficial for patients with weak immune systems. The two parts of Paxlovid, nirmatrelvir (PF-07321332) and ritonavir, are taken together, twice a day for five days. PF-07321332 is a new antiviral, while ritonavir – which slows the breakdown of PF-07321332 within the liver to increase its effectiveness – is already used alongside HIV medications. However, ritonavir can interfere with the functioning of other drugs through the liver, meaning Paxlovid may not be offered if patients cannot pause existing courses of medication. Prof Munir Pirmohamed, the chair of the MHRA’s commission on human medicines, said its coronavirus expert working group had endorsed the agency’s approval of Paxlovid, calling it “another safe and effective treatment” against Covid-19. “As it is deployed, we will monitor its effectiveness and safety in the real world, including any drug interactions, as we do with all medicines,” he said. The MHRA has already approved an antiviral pill, molnupiravir, made by Merck. But its results have been disappointing and it may be only about 30% effective in preventing hospitalisation. There have also been concerns raised over molnupiravir’s potential to lead to further variants."
Recommendation paves way for FDA authorization of Moderna Covid vaccine in US,https://www.theguardian.com/world/2020/dec/17/moderna-vaccine-coronavirus-covid-fda-recommendation-approval,"An advisory committee for the US Food and Drug Administration (FDA) has recommended the agency authorize a second Covid-19 vaccine, this one developed by Moderna and the National Institute of Allergy and Infectious Diseases (NIAID). The recommendation paves the way for the FDA to give emergency approval for a second highly effective vaccine to be used in the US. That approval could come by the end of the week. An FDA analysis found Moderna’s vaccine is more than 94% effective at preventing Covid-19 in a trial of more than 30,000 participants. The likely authorization of the second vaccine comes after more than 300,000 Americans have succumbed to Covid-19, in a winter-time “third wave” of the disease that is filling hospitals with patients and exhausting healthcare workers. The recommendation comes from the FDA’s Center for Biologics and Evaluation and Research vaccine advisory committee, an independent panel of experts who last week recommended the agency authorize a vaccine developed by Pfizer/BioNTech. “The question is never when do you know everything, it’s when do you know enough,” said Dr Paul Offit, a vaccine and infectious disease expert at the Children’s Hospital of Philadelphia. The answer to whether the advisory committee should recommend emergency authorization of the vaccine is, “Clearly, yes.” “We’re talking about a pandemic in which we really need to move this forward,” said Dr Steven Pergam, another board member and an infectious disease expert at Seattle Cancer Care Alliance. The Pfizer vaccine became the first drug authorized by the FDA to prevent Covid-19 in the US. It was earlier authorized by the UK and Canada. While the FDA does not always take the advice of its expert committees, the agency is expected to swiftly authorize the Moderna vaccine for emergency use. Like Pfizer’s vaccine, the drug developed by Moderna to prevent Covid-19 uses messenger RNA technology. This technology introduces the body to the spike protein coating the surface of the coronavirus. The vaccine was developed in a joint effort by Moderna Inc and NIAID. It received nearly $2.5bn in US government funding, and the federal government has already purchased 200m doses with an option to buy 300m more. Emergency approval of a second vaccine would put the US on track to potentially immunize up to 150 million people between now and mid-2021, if the government can effectively roll out the most logistically challenging public health campaign in history. Both vaccines require two dose “booster” regimens. About 6m doses are expected to begin being distributed immediately after FDA emergency authorization. The federal government will pay for both vaccines, with no out-of-pocket costs to Americans. Notably, the hearing for the second potential vaccine included doctors who spoke about the impact Covid-19 has had on themselves and their staff. “There’s a real price to be paid for getting Covid,” said Dr. Douglas Dieterich, a professor of medicine at Mount Sinai’s institute of liver diseases who was infected with Covid-19, and lost his sense of smell, and feeling in his feet, among other long-term side effects. “I think the vaccine is the answer to prevent Covid-19,” he said. Dr. Donald Middleton, a doctor at the University of Pittsburgh Medical Center, said one of his residents was about to sedate an intubated 70-year-old Covid-19 patient, when she wrote him a note. “I love y’all, my life is in y’all’s hands,” the patient wrote. “Even though their staff does their duty daily, they are in hell,” said Middletown. “Please advise the FDA to give this outstanding vaccine full [emergency authorization] status.” The second US authorization comes as the FDA is updating guidance given to doctors after a health worker in Alaska experienced an allergic reaction immediately after receiving the vaccine. Moderna’s scientists said there were two allergic reactions in its trial, one in the placebo arm and another in a vaccine recipient. In the vaccine arm, the allergic reaction was more than 60 days after the participant received the vaccine, and was found to be related to a separate medical procedure. The second approval also poses a substantial challenge to vaccine researchers, who are now “experiencing significant drop-out” in the blinded, placebo-controlled trial as vaccines become available, said Dr. Lindsey R Baden, one of three co-principal investigators and a doctor at Brigham and Women’s Hospital in Massachusetts. That means observational data, considered lower quality, will need to be carefully analyzed to learn more about the vaccine as it is distributed. Even with this second approval, the US would still need to authorize more vaccines in order to vaccinate the majority of Americans. Moderna’s vaccine, like Pfizer’s, would be authorized for emergency use with the idea that the company would apply for a full approval in coming months. Importantly, Moderna’s vaccine holds two distinct advantages over Pfizer’s. First, it does not require ultra-cold storage. That means the vaccine could be less susceptible to wastage and will be easier to transport to rural communities. It also does not require dilution or mixing, like Pfizer’s vaccine. The second advantage is more subtle – Moderna’s Phase III clinical trial data showed no members of the vaccinated group developed severe Covid-19, where 30 placebo group members did. This means for the 6% of people who do not receive the preventive effects of the vaccine, the vaccine may still reduce severity of symptoms. The Pfizer vaccine is authorized in children as young as 16, but Moderna’s vaccine can only be used in adults 18 and older. That could leave roughly a quarter of the population vulnerable to infection by the coronavirus, and increase the need to universally vaccinate adults."
