url,title,classified_method,secondary_method,method_certainty,article_relevance_score,models_agreeing_high,disagreement_type
https://www.theguardian.com/media/2026/jan/20/uk-study-examine-effects-restricting-social-media-children,UK study to examine effects of restricting social media for children,method_rct,,MEDIUM,0.2965000000000001,2,near_tier_a
https://www.theguardian.com/australia-news/2023/aug/29/labor-australian-centre-for-evaluation,Labor launches new body to evaluate public programs using randomised trials,method_rct,method_expert_qual,LOW,0.19300000000000003,1,outlier_high
https://www.theguardian.com/commentisfree/2020/dec/01/uk-students-tests-coronavirus-testing-university-false-negative-results,The UK government must be honest with students – tests can miss coronavirus,method_expert_secondary,,LOW,0.14500000000000005,1,outlier_high
https://www.theguardian.com/world/2021/mar/09/vitamin-d-supplements-may-offer-no-covid-benefits-data-suggests,"Vitamin D supplements may offer no Covid benefits, data suggests",method_expert_secondary,,LOW,0.14050000000000004,1,outlier_high
https://www.theguardian.com/australia-news/2018/nov/13/labor-pledges-to-transform-policy-making-by-creating-evaluator-general,Labor pledges to transform policy-making by creating evaluator general,method_rct,,LOW,0.14500000000000005,1,outlier_high
https://www.theguardian.com/world/2020/apr/07/plasma-from-coronavirus-survivors-found-to-help-severely-ill-patients,Plasma from coronavirus survivors found to help severely ill patients,method_prepost,method_case_study,LOW,0.17650000000000005,1,outlier_high
https://www.theguardian.com/society/2018/aug/01/dengue-fever-outbreak-halted-by-release-of-infected-mosquitoes,Dengue fever outbreak halted by release of special mosquitoes,method_prepost,method_rct,LOW,0.26050000000000006,2,method_disagree
https://www.theguardian.com/lifeandstyle/2017/jun/05/can-mindfulness-reduce-fear-of-labour-and-postpartum-depression,Can mindfulness reduce fear of labour and postpartum depression?,method_rct,,MEDIUM,0.26650000000000007,2,near_tier_a
https://www.theguardian.com/commentisfree/2016/nov/15/sore-throats-pharmacies-nhs,Testing sore throats at pharmacies won’t solve anything,method_rct,method_gut,LOW,0.16900000000000004,1,outlier_high
https://www.theguardian.com/public-leaders-network/2015/mar/20/governments-guinea-pigs-policies-tested-citizens,Why governments need guinea pigs for policies,method_rct,,LOW,0.14500000000000005,1,outlier_high
https://www.theguardian.com/commentisfree/2014/nov/24/class-baby-breastfed-life-chances-inequality,"It’s class, not whether a baby is breastfed, that determines life chances",method_expert_secondary,,LOW,0.17050000000000004,1,outlier_high
https://www.theguardian.com/commentisfree/cifamerica/2011/mar/27/schools-teaching,No merit in merit pay for teachers,method_rct,,LOW,0.13900000000000004,1,outlier_high
https://www.theguardian.com/science/2010/feb/21/peanut-allergy-clinical-trial,Doctors launch major trials to treat childhood peanut allergy after promising pilot study,method_rct,,MEDIUM,0.2965000000000001,2,near_tier_a
https://www.theguardian.com/education/2008/sep/18/schools.children,Pupils to get lessons in fighting depression,method_rct,,MEDIUM,0.26650000000000007,2,near_tier_a
https://www.theguardian.com/media/2002/mar/08/newmedia.society,A healthy challenge to the media,method_rct,,LOW,0.14500000000000005,1,outlier_high
https://www.theguardian.com/society/2001/jan/24/disability.voluntarysector,New Deal or raw deal?,method_rct,,LOW,0.15250000000000005,1,outlier_high
