round_id,timestamp_utc_iso,query_base,query_final,template_id,target_method,backoff_level_used,preflight_total_available,preflight_totals_by_level_json,guardian_total_available,guardian_pages_fetched,guardian_page_size,guardian_candidates_retrieved,guardian_requests_this_round,guardian_keys_used,guardian_key_rotations_this_round,skipped_live_count,skipped_long_count,skipped_missing_text_count,filtered_remaining_count,scored_count,random_seed_used,high_rel_model1_count,high_rel_model3_count,high_rel_llm_final_count,high_rel_dpo_count,consensus_high_rel_count,new_consensus_credit_total,new_llm_new_total,duplicate_rate_consensus,new_consensus_credit_rct,new_consensus_credit_prepost,new_consensus_credit_case_study,new_consensus_credit_expert_qual,new_consensus_credit_expert_secondary,new_consensus_credit_gut,new_llm_rct,new_llm_prepost,new_llm_case_study,new_llm_expert_qual,new_llm_expert_secondary,new_llm_gut,llm_high_count,dpo_attempted_count,dpo_valid_count,dpo_success_rate,dpo_high_count,llm_mode_used_counts_json,dpo_fail_reason_counts_json,reward_R,reward_V,reward_U_all,reward_U_llm,reward_DUP,reward_weight_alpha,reward_weight_beta,reward_weight_gamma,reward_weight_delta,reward_p,query_budget_cap_usd,query_cost_this_round_usd,query_cost_cumulative_usd,query_spaces_sha256,templates_sha256,contract_sha256,config_sha256,code_sha256_bundle,test_col,high_rel_llm_sft_count,dpo_circuit_breaker_triggered,skipped_dedupe_count,seen_urls_count,novelty_search_pages,scored_target_n,new_unique_high_rel_count,overlap_high_rel_count
2,2026-02-18T21:54:49.005065+00:00,"(""impact"") AND (""policy"") AND ""evidence""","(""impact"") AND (""policy"") AND ""evidence""",T2,gut,1.0,16819.0,"{""0"": 3, ""1"": 16819}",16819.0,5.0,50.0,250.0,5.0,TODO,0.0,1.0,105.0,0.0,144.0,144.0,0.0,0.0,0.0,110.0,2.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,30.0,3.0,0.1,2.0,"{""sft_only"": 141, ""sft+dpo_ensemble"": 3}","{""validation_failed"": 27}",0.0,1.0,0.0,0.0,0.0,0.25,0.15,0.6,0.2,1.5,60.0,0.0,0.0,687b50a2e7ce5866932ce6ff8ae264f33b26d6c740a6e4056d74020ba4e9dcfb,b33a7c2e7409f814f902395e4fb54225d114d1abd775293398d6384de291f3fb,11d12f94287194570af9e2252a954ee11dd78df426197d2b97991dc93064a182,4d6b986ae4b13dc7d26aa5bfb2e5644c62dbe7ac62fba0f761ae901a1f8f00e7,7e93cd2117946dc8ec079797cd8000f3cd3c3e050e84216cde1898e8e66a295e,,,,,,,,,
3,2026-02-18T22:05:15.641380+00:00,qualitative case study,qualitative case study,T10,case_study,3.0,63256.0,"{""0"": 0, ""1"": 0, ""2"": 1, ""3"": 63256}",63252.0,5.0,50.0,250.0,5.0,TODO,0.0,2.0,31.0,0.0,217.0,217.0,0.0,0.0,0.0,158.0,3.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,30.0,3.0,0.1,3.0,"{""sft_only"": 214, ""sft+dpo_ensemble"": 3}","{""validation_failed"": 27}",0.0,1.0,0.0,0.0,0.0,0.25,0.15,0.6,0.2,1.5,60.0,0.0,0.0,687b50a2e7ce5866932ce6ff8ae264f33b26d6c740a6e4056d74020ba4e9dcfb,b33a7c2e7409f814f902395e4fb54225d114d1abd775293398d6384de291f3fb,11d12f94287194570af9e2252a954ee11dd78df426197d2b97991dc93064a182,d5386b7d628fb74b0d024022393d303d36d1ace3ee4e9ee66b9cba5f2736f29f,77d97aaac1a472a194bf3ff55b6ac19fca5989253c2071f8f280f8af37ea50fa,,,,,,,,,
4,2026-02-18T22:14:48.765247+00:00,regression discontinuity,regression discontinuity,T1,prepost,3.0,2055.0,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 2055}",2055.0,5.0,50.0,250.0,5.0,TODO,0.0,0.0,104.0,0.0,146.0,146.0,0.0,0.0,0.0,70.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0,5.0,0.1666666666666666,0.0,"{""sft_only"": 141, ""sft+dpo_ensemble"": 5}","{""validation_failed"": 25}",0.0,1.0,0.0,0.0,0.0,0.25,0.15,0.6,0.2,1.5,60.0,0.0,0.0,687b50a2e7ce5866932ce6ff8ae264f33b26d6c740a6e4056d74020ba4e9dcfb,b33a7c2e7409f814f902395e4fb54225d114d1abd775293398d6384de291f3fb,11d12f94287194570af9e2252a954ee11dd78df426197d2b97991dc93064a182,d5386b7d628fb74b0d024022393d303d36d1ace3ee4e9ee66b9cba5f2736f29f,77d97aaac1a472a194bf3ff55b6ac19fca5989253c2071f8f280f8af37ea50fa,,,,,,,,,
5,2026-02-18T22:18:48.723839+00:00,"""RCT""","""RCT""",T2,rct,2.0,76.0,"{""0"": 0, ""1"": 16, ""2"": 76}",76.0,2.0,50.0,76.0,2.0,TODO,0.0,0.0,31.0,9.0,36.0,36.0,0.0,0.0,0.0,21.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,30.0,6.0,0.2,4.0,"{""sft_only"": 30, ""sft+dpo_ensemble"": 6}","{""validation_failed"": 24}",0.0,0.36,0.0,0.0,0.0,0.25,0.15,0.6,0.2,1.5,60.0,0.0,0.0,687b50a2e7ce5866932ce6ff8ae264f33b26d6c740a6e4056d74020ba4e9dcfb,b33a7c2e7409f814f902395e4fb54225d114d1abd775293398d6384de291f3fb,11d12f94287194570af9e2252a954ee11dd78df426197d2b97991dc93064a182,d5386b7d628fb74b0d024022393d303d36d1ace3ee4e9ee66b9cba5f2736f29f,77d97aaac1a472a194bf3ff55b6ac19fca5989253c2071f8f280f8af37ea50fa,,,,,,,,,
6,2026-02-18T23:36:55.567783+00:00,"(""case study"" OR ""pilot site"") AND (""pilot"" OR ""implemented"" OR ""rolled out"") AND (policy OR programme OR program OR scheme OR service OR government OR council OR nhs)","(""case study"" OR ""pilot site"") AND (""pilot"" OR ""implemented"" OR ""rolled out"") AND (policy OR programme OR program OR scheme OR service OR government OR council OR nhs)",T6,case_study,99.0,120.0,"{""T4_base_strict"": 207747, ""T4_tighten_add_A"": null, ""T4_tighten_add_G"": null, ""T4_tighten_ultra_D"": 207808, ""T3_base_strict"": 207827, ""T3_tighten_add_A"": 2408475, ""T3_tighten_add_G"": null, ""T3_tighten_ultra_D"": 2408536, ""T2_base_strict"": 207795, ""T2_tighten_add_A"": null, ""T2_tighten_add_G"": 2401091, ""T2_tighten_ultra_D"": 2401152, ""T1_base_strict"": 208071, ""T1_tighten_add_A"": 2408523, ""T1_tighten_add_G"": 2604437, ""T1_tighten_ultra_D"": 2604498, ""T6_base_strict"": 207827, ""T6_tighten_add_A"": null, ""T6_tighten_add_G"": null, ""T6_tighten_ultra_D"": 207996, ""T5_base_strict"": 208071, ""T5_tighten_add_A"": null, ""T5_tighten_add_G"": 2401171, ""T5_tighten_ultra_D"": 2401340, ""T10_base_strict"": 207733, ""T10_tighten_add_A"": null, ""T10_tighten_add_G"": 2401070, ""T10_tighten_ultra_D"": 2401092, ""T9_base_strict"": 207985, ""T9_tighten_add_A"": 2408520, ""T9_tighten_add_G"": 2604437, ""T9_tighten_ultra_D"": 2604495, ""T8_base_strict"": 207957, ""T8_tighten_add_A"": 2408503, ""T8_tighten_add_G"": 2604430, ""T8_tighten_ultra_D"": 2604477, ""T7_base_strict"": 207819, ""T7_tighten_add_A"": 2408474, ""T7_tighten_add_G"": null, ""T7_tighten_ultra_D"": 2408536, ""emergency"": 120}",120.0,3.0,50.0,120.0,3.0,TODO,0.0,3.0,73.0,0.0,44.0,44.0,0.0,0.0,0.0,31.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,30.0,2.0,0.0666666666666666,1.0,"{""sft_only"": 42, ""sft+dpo_ensemble"": 2}","{""validation_failed"": 28}",0.0,0.44,0.0,0.0,0.0,0.25,0.15,0.6,0.2,1.5,60.0,0.0,0.0,4a49c337747c5fbb434f7a51e4279ebc03541a80e1992987c19befcf333f8bb8,a232259faa767ea72118c2203983aa5d0c87944192931d10b160b8af32f5081e,de3d9bab19e8969acacfa47878a2c37c9d751ec7e0103128cba71f36caccbbeb,14288ef04e8756035fdeed6c9c1ecad33ebe29af5acbdbd70b821a9aab94ea70,f119bf80268d560d495e23c8b9efb6826514929125b0606a37a3302e6f1d76f6,,,,,,,,,
7,2026-02-19T00:30:03.290852+00:00,REPAIRED_LOG_ENTRY,REPAIRED_LOG_ENTRY,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.6,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,
8,2026-02-19T00:23:05.090806+00:00,"((""randomized controlled trial"" OR ""randomised controlled trial"" OR ""randomized trial"" OR ""randomised trial"" OR ""field experiment"" OR ""a/b test"")) AND ((""pilot"" OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((POLICY OR PROGRAMME OR PROGRAM OR SCHEME OR SERVICE OR MEASURE OR REGULATION OR INITIATIVE OR INTERVENTION OR COUNCIL OR GOVERNMENT OR NHS OR CITY OR ""PUBLIC HEALTH"" OR EDUCATION OR TRANSPORT OR POLICING)) AND ((GOVERNMENT OR MINISTER OR DEPARTMENT OR COUNCIL OR MAYOR OR NHS OR REGULATOR OR AGENCY OR AUTHORITY)) AND ((EVALUATION OR STUDY OR ANALYSIS OR ASSESSMENT OR REVIEW OR REPORT OR FINDINGS OR DATA OR EVIDENCE)) NOT ((""sport"" OR ""football"" OR ""cricket"" OR ""rugby"" OR ""tennis"" OR ""golf"" OR ""music"" OR ""film"" OR ""movie"" OR ""theatre"" OR ""art"" OR ""exhibition"" OR ""concert"" OR ""festival"" OR ""recipe"" OR ""cooking"" OR ""fashion"" OR ""style"" OR ""beauty"" OR ""travel"" OR ""holiday"" OR ""hotel"" OR ""flight"" OR ""property"" OR ""house"" OR ""garden"" OR ""car"" OR ""motoring"" OR ""weather"" OR ""crossword"" OR ""sudoku"" OR ""puzzle"" OR ""quiz"" OR ""horoscope"" OR ""dating"" OR ""sex"" OR ""relationship"" OR ""obituary"" OR ""letter"" OR ""comment"" OR ""opinion"" OR ""editorial"" OR ""leader"" OR ""profile"" OR ""interview"" OR ""review"" OR ""diary"" OR ""blog"" OR ""podcast"" OR ""video"" OR ""audio"" OR ""gallery"" OR ""picture"" OR ""photo"" OR ""image"" OR ""cartoon"" OR ""illustration"" OR ""graphic"" OR ""sentencing"" OR ""prosecution"" OR ""defendant"" OR ""appeal"" OR ""court"" OR ""tribunal"" OR ""judge""))","((""randomized controlled trial"" OR ""randomised controlled trial"" OR ""randomized trial"" OR ""randomised trial"" OR ""field experiment"" OR ""a/b test"")) AND ((""pilot"" OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((POLICY OR PROGRAMME OR PROGRAM OR SCHEME OR SERVICE OR MEASURE OR REGULATION OR INITIATIVE OR INTERVENTION OR COUNCIL OR GOVERNMENT OR NHS OR CITY OR ""PUBLIC HEALTH"" OR EDUCATION OR TRANSPORT OR POLICING)) AND ((GOVERNMENT OR MINISTER OR DEPARTMENT OR COUNCIL OR MAYOR OR NHS OR REGULATOR OR AGENCY OR AUTHORITY)) AND ((EVALUATION OR STUDY OR ANALYSIS OR ASSESSMENT OR REVIEW OR REPORT OR FINDINGS OR DATA OR EVIDENCE)) NOT ((""sport"" OR ""football"" OR ""cricket"" OR ""rugby"" OR ""tennis"" OR ""golf"" OR ""music"" OR ""film"" OR ""movie"" OR ""theatre"" OR ""art"" OR ""exhibition"" OR ""concert"" OR ""festival"" OR ""recipe"" OR ""cooking"" OR ""fashion"" OR ""style"" OR ""beauty"" OR ""travel"" OR ""holiday"" OR ""hotel"" OR ""flight"" OR ""property"" OR ""house"" OR ""garden"" OR ""car"" OR ""motoring"" OR ""weather"" OR ""crossword"" OR ""sudoku"" OR ""puzzle"" OR ""quiz"" OR ""horoscope"" OR ""dating"" OR ""sex"" OR ""relationship"" OR ""obituary"" OR ""letter"" OR ""comment"" OR ""opinion"" OR ""editorial"" OR ""leader"" OR ""profile"" OR ""interview"" OR ""review"" OR ""diary"" OR ""blog"" OR ""podcast"" OR ""video"" OR ""audio"" OR ""gallery"" OR ""picture"" OR ""photo"" OR ""image"" OR ""cartoon"" OR ""illustration"" OR ""graphic"" OR ""sentencing"" OR ""prosecution"" OR ""defendant"" OR ""appeal"" OR ""court"" OR ""tribunal"" OR ""judge""))",T4,rct,0.0,100.0,"{""T4_base_strict"": 100}",100.0,0.0,50.0,2.0,0.0,TODO,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.6,0.2,1.5,60.0,0.0,0.0,4a49c337747c5fbb434f7a51e4279ebc03541a80e1992987c19befcf333f8bb8,a232259faa767ea72118c2203983aa5d0c87944192931d10b160b8af32f5081e,0cd293930a9ccb426fd3ca0bb4c08dce3c7681b47476d9f4a4de32af813ba4a1,14288ef04e8756035fdeed6c9c1ecad33ebe29af5acbdbd70b821a9aab94ea70,42ce3f852c0b05cb50f2fa00c1940fc0422acc0e16e3a9e0d1dd8bd2832f74bc,,,,,,,,,
9,2026-02-19T00:23:47.145553+00:00,"((""randomized controlled trial"" OR ""randomised controlled trial"" OR ""randomized trial"" OR ""randomised trial"" OR ""field experiment"" OR ""a/b test"")) AND ((""pilot"" OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((POLICY OR PROGRAMME OR PROGRAM OR SCHEME OR SERVICE OR MEASURE OR REGULATION OR INITIATIVE OR INTERVENTION OR COUNCIL OR GOVERNMENT OR NHS OR CITY OR ""PUBLIC HEALTH"" OR EDUCATION OR TRANSPORT OR POLICING)) AND ((GOVERNMENT OR MINISTER OR DEPARTMENT OR COUNCIL OR MAYOR OR NHS OR REGULATOR OR AGENCY OR AUTHORITY)) AND ((EVALUATION OR STUDY OR ANALYSIS OR ASSESSMENT OR REVIEW OR REPORT OR FINDINGS OR DATA OR EVIDENCE)) NOT ((""sport"" OR ""football"" OR ""cricket"" OR ""rugby"" OR ""tennis"" OR ""golf"" OR ""music"" OR ""film"" OR ""movie"" OR ""theatre"" OR ""art"" OR ""exhibition"" OR ""concert"" OR ""festival"" OR ""recipe"" OR ""cooking"" OR ""fashion"" OR ""style"" OR ""beauty"" OR ""travel"" OR ""holiday"" OR ""hotel"" OR ""flight"" OR ""property"" OR ""house"" OR ""garden"" OR ""car"" OR ""motoring"" OR ""weather"" OR ""crossword"" OR ""sudoku"" OR ""puzzle"" OR ""quiz"" OR ""horoscope"" OR ""dating"" OR ""sex"" OR ""relationship"" OR ""obituary"" OR ""letter"" OR ""comment"" OR ""opinion"" OR ""editorial"" OR ""leader"" OR ""profile"" OR ""interview"" OR ""review"" OR ""diary"" OR ""blog"" OR ""podcast"" OR ""video"" OR ""audio"" OR ""gallery"" OR ""picture"" OR ""photo"" OR ""image"" OR ""cartoon"" OR ""illustration"" OR ""graphic"" OR ""sentencing"" OR ""prosecution"" OR ""defendant"" OR ""appeal"" OR ""court"" OR ""tribunal"" OR ""judge""))","((""randomized controlled trial"" OR ""randomised controlled trial"" OR ""randomized trial"" OR ""randomised trial"" OR ""field experiment"" OR ""a/b test"")) AND ((""pilot"" OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((POLICY OR PROGRAMME OR PROGRAM OR SCHEME OR SERVICE OR MEASURE OR REGULATION OR INITIATIVE OR INTERVENTION OR COUNCIL OR GOVERNMENT OR NHS OR CITY OR ""PUBLIC HEALTH"" OR EDUCATION OR TRANSPORT OR POLICING)) AND ((GOVERNMENT OR MINISTER OR DEPARTMENT OR COUNCIL OR MAYOR OR NHS OR REGULATOR OR AGENCY OR AUTHORITY)) AND ((EVALUATION OR STUDY OR ANALYSIS OR ASSESSMENT OR REVIEW OR REPORT OR FINDINGS OR DATA OR EVIDENCE)) NOT ((""sport"" OR ""football"" OR ""cricket"" OR ""rugby"" OR ""tennis"" OR ""golf"" OR ""music"" OR ""film"" OR ""movie"" OR ""theatre"" OR ""art"" OR ""exhibition"" OR ""concert"" OR ""festival"" OR ""recipe"" OR ""cooking"" OR ""fashion"" OR ""style"" OR ""beauty"" OR ""travel"" OR ""holiday"" OR ""hotel"" OR ""flight"" OR ""property"" OR ""house"" OR ""garden"" OR ""car"" OR ""motoring"" OR ""weather"" OR ""crossword"" OR ""sudoku"" OR ""puzzle"" OR ""quiz"" OR ""horoscope"" OR ""dating"" OR ""sex"" OR ""relationship"" OR ""obituary"" OR ""letter"" OR ""comment"" OR ""opinion"" OR ""editorial"" OR ""leader"" OR ""profile"" OR ""interview"" OR ""review"" OR ""diary"" OR ""blog"" OR ""podcast"" OR ""video"" OR ""audio"" OR ""gallery"" OR ""picture"" OR ""photo"" OR ""image"" OR ""cartoon"" OR ""illustration"" OR ""graphic"" OR ""sentencing"" OR ""prosecution"" OR ""defendant"" OR ""appeal"" OR ""court"" OR ""tribunal"" OR ""judge""))",T4,rct,0.0,100.0,"{""T4_base_strict"": 100}",100.0,0.0,50.0,2.0,0.0,TODO,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.6,0.2,1.5,60.0,0.0,0.0,4a49c337747c5fbb434f7a51e4279ebc03541a80e1992987c19befcf333f8bb8,a232259faa767ea72118c2203983aa5d0c87944192931d10b160b8af32f5081e,0cd293930a9ccb426fd3ca0bb4c08dce3c7681b47476d9f4a4de32af813ba4a1,14288ef04e8756035fdeed6c9c1ecad33ebe29af5acbdbd70b821a9aab94ea70,4fbc40db1260086c28858df22bc937c12b6de59705bba351a7c805e7a1b83eb0,,,,,,,,,
12,2026-02-19T01:29:14.528047+00:00,"(""independent review"" OR ""expert panel"" OR consultation) AND (""recommend"" OR ""recommendation"" OR ""plans to"" OR ""will decide"") AND (government OR council OR nhs OR department)","(""independent review"" OR ""expert panel"" OR consultation) AND (""recommend"" OR ""recommendation"" OR ""plans to"" OR ""will decide"") AND (government OR council OR nhs OR department)",T6,expert_qual,99.0,3253.0,"{""T4_base_strict"": 208025, ""T4_tighten_add_A"": null, ""T4_tighten_add_G"": null, ""T4_tighten_ultra_D"": 208368, ""T3_base_strict"": 208262, ""T3_tighten_add_A"": 2408756, ""T3_tighten_add_G"": null, ""T3_tighten_ultra_D"": 2409099, ""T2_base_strict"": 208227, ""T2_tighten_add_A"": null, ""T2_tighten_add_G"": 2401371, ""T2_tighten_ultra_D"": 2401714, ""T1_base_strict"": 208738, ""T1_tighten_add_A"": 2408958, ""T1_tighten_add_G"": 2604718, ""T1_tighten_ultra_D"": 2605061, ""T6_base_strict"": 208262, ""T6_tighten_add_A"": null, ""T6_tighten_add_G"": null, ""T6_tighten_ultra_D"": 0, ""T5_base_strict"": 208739, ""T5_tighten_add_A"": null, ""T5_tighten_add_G"": 2401608, ""T5_tighten_ultra_D"": 2402297, ""T10_base_strict"": 207963, ""T10_tighten_add_A"": null, ""T10_tighten_add_G"": 2401246, ""T10_tighten_ultra_D"": 2401422, ""T9_base_strict"": 208670, ""T9_tighten_add_A"": 2408949, ""T9_tighten_add_G"": 2604716, ""T9_tighten_ultra_D"": 2605056, ""T8_base_strict"": 208304, ""T8_tighten_add_A"": 2408788, ""T8_tighten_add_G"": 2604645, ""T8_tighten_ultra_D"": 2604860, ""T7_base_strict"": 208219, ""T7_tighten_add_A"": 2408734, ""T7_tighten_add_G"": null, ""T7_tighten_ultra_D"": 2409094, ""emergency"": 3253}",3253.0,5.0,50.0,250.0,5.0,TODO,0.0,0.0,102.0,0.0,148.0,148.0,0.0,0.0,1.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,30.0,1.0,0.0333333333333333,0.0,"{""sft_only"": 147, ""sft+dpo_ensemble"": 1}","{""validation_failed"": 29}",0.0,1.0,0.0,0.0,0.0,0.25,0.15,0.6,0.2,1.5,60.0,0.0,0.0,4a49c337747c5fbb434f7a51e4279ebc03541a80e1992987c19befcf333f8bb8,a232259faa767ea72118c2203983aa5d0c87944192931d10b160b8af32f5081e,0cd293930a9ccb426fd3ca0bb4c08dce3c7681b47476d9f4a4de32af813ba4a1,14288ef04e8756035fdeed6c9c1ecad33ebe29af5acbdbd70b821a9aab94ea70,f181db5ee7f314f2ee7fc25c40ae3379dbfefa3ecb6c55a887de2820bfafe80d,,,,,,,,,
13,2026-02-19T01:32:36.973178+00:00,"(""case study"" OR ""pilot site"") AND (""pilot"" OR ""implemented"" OR ""rolled out"") AND (policy OR programme OR program OR scheme OR service OR government OR council OR nhs)","(""case study"" OR ""pilot site"") AND (""pilot"" OR ""implemented"" OR ""rolled out"") AND (policy OR programme OR program OR scheme OR service OR government OR council OR nhs)",T1,case_study,99.0,120.0,"{""T4_base_strict"": 207747, ""T4_tighten_add_A"": null, ""T4_tighten_add_G"": null, ""T4_tighten_ultra_D"": 207808, ""T3_base_strict"": 207827, ""T3_tighten_add_A"": 2408478, ""T3_tighten_add_G"": null, ""T3_tighten_ultra_D"": 2408539, ""T2_base_strict"": 207795, ""T2_tighten_add_A"": null, ""T2_tighten_add_G"": 2401093, ""T2_tighten_ultra_D"": 2401154, ""T1_base_strict"": 208071, ""T1_tighten_add_A"": 2408526, ""T1_tighten_add_G"": 2604440, ""T1_tighten_ultra_D"": 2604501, ""T6_base_strict"": 207827, ""T6_tighten_add_A"": null, ""T6_tighten_add_G"": null, ""T6_tighten_ultra_D"": 207996, ""T5_base_strict"": 208071, ""T5_tighten_add_A"": null, ""T5_tighten_add_G"": 2401173, ""T5_tighten_ultra_D"": 2401342, ""T10_base_strict"": 207733, ""T10_tighten_add_A"": null, ""T10_tighten_add_G"": 2401072, ""T10_tighten_ultra_D"": 2401094, ""T9_base_strict"": 207985, ""T9_tighten_add_A"": 2408523, ""T9_tighten_add_G"": 2604440, ""T9_tighten_ultra_D"": 2604498, ""T8_base_strict"": 207957, ""T8_tighten_add_A"": 2408506, ""T8_tighten_add_G"": 2604433, ""T8_tighten_ultra_D"": 2604480, ""T7_base_strict"": 207819, ""T7_tighten_add_A"": 2408477, ""T7_tighten_add_G"": null, ""T7_tighten_ultra_D"": 2408539, ""emergency"": 120}",120.0,3.0,50.0,120.0,3.0,TODO,0.0,47.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.6,0.2,1.5,60.0,0.0,0.0,4a49c337747c5fbb434f7a51e4279ebc03541a80e1992987c19befcf333f8bb8,a232259faa767ea72118c2203983aa5d0c87944192931d10b160b8af32f5081e,a3ad9a34f5a03771fd756805060c3756a1db4fe4fd3b3baf4d5597192a151185,14288ef04e8756035fdeed6c9c1ecad33ebe29af5acbdbd70b821a9aab94ea70,3904349f73b9a57ce7f6f7a220fdfdc1c6d123bb3e62297577b90560cd795d3f,,,,,,,,,
